Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_S1_p;backward;distmult;10;0.5;0;no_reasoner;[22.169170141220093, 1.0219291293321235];[2.6587, 0.001];[0.1758, 0.0019];[5.1416, 0.0];[0.9927, 0.0028];[0.9858, 0.0052];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9044, 0.0131];[0.4065, 0.0263];[1.4023, 0.0];[0.811, 0.0205];[0.72, 0.021];[0.88, 0.0228];[0.944, 0.0206];[0.994, 0.008];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.76, 0.0252];[0.435, 0.0504];[3.085, 0.0];[0.8536, 0.0125];[0.76, 0.0219];[0.924, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;0;no_reasoner;[24.34114031791687, 0.9158772121516502];[2.5768, 0.0001];[0.012, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8563, 0.0215];[0.3104, 0.043];[1.4023, 0.0];[0.9354, 0.0113];[0.908, 0.0194];[0.954, 0.0102];[0.968, 0.0117];[0.994, 0.0049];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7142, 0.0404];[0.3434, 0.0808];[3.085, 0.0];[0.9092, 0.0107];[0.864, 0.0196];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;200;0.5;0;no_reasoner;[27.182427310943602, 1.9056786020777683];[2.5768, 0.0001];[0.012, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8518, 0.0157];[0.3014, 0.0314];[1.4023, 0.0];[0.9333, 0.0199];[0.9, 0.0316];[0.958, 0.0172];[0.972, 0.0147];[0.992, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7097, 0.0481];[0.3345, 0.0962];[3.085, 0.0];[0.9209, 0.026];[0.88, 0.0335];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;10;0.5;0;no_reasoner;[23.775953912734984, 0.40497200836936975];[3.3463, 0.0028];[1.5509, 0.0056];[5.1416, 0.0];[0.6101, 0.0041];[0.3308, 0.0085];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9131, 0.0026];[0.424, 0.0051];[1.4023, 0.0];[0.6401, 0.0186];[0.55, 0.0245];[0.644, 0.0307];[0.732, 0.016];[0.958, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;100;0.5;0;no_reasoner;[25.201602840423583, 2.044827664942139];[3.3463, 0.0028];[1.5509, 0.0056];[5.1416, 0.0];[0.6101, 0.0041];[0.3308, 0.0085];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9131, 0.0026];[0.424, 0.0051];[1.4023, 0.0];[0.6401, 0.0186];[0.55, 0.0245];[0.644, 0.0307];[0.732, 0.016];[0.958, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;200;0.5;0;no_reasoner;[24.880503559112547, 0.2942892073576383];[3.3463, 0.0028];[1.5509, 0.0056];[5.1416, 0.0];[0.6101, 0.0041];[0.3308, 0.0085];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9131, 0.0026];[0.424, 0.0051];[1.4023, 0.0];[0.6401, 0.0186];[0.55, 0.0245];[0.644, 0.0307];[0.732, 0.016];[0.958, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;10;0.5;0;no_reasoner;[21.278304433822633, 0.4758257674264842];[2.6587, 0.001];[0.1758, 0.0019];[5.1416, 0.0];[0.9927, 0.0028];[0.9858, 0.0052];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9044, 0.0131];[0.4065, 0.0263];[1.4023, 0.0];[0.811, 0.0205];[0.72, 0.021];[0.88, 0.0228];[0.944, 0.0206];[0.994, 0.008];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.76, 0.0252];[0.435, 0.0504];[3.085, 0.0];[0.8536, 0.0125];[0.76, 0.0219];[0.924, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;0;no_reasoner;[24.736012554168703, 1.5741360849660768];[2.5768, 0.0001];[0.012, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8563, 0.0215];[0.3104, 0.043];[1.4023, 0.0];[0.9354, 0.0113];[0.908, 0.0194];[0.954, 0.0102];[0.968, 0.0117];[0.994, 0.0049];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7142, 0.0404];[0.3434, 0.0808];[3.085, 0.0];[0.9092, 0.0107];[0.864, 0.0196];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;200;0.5;0;no_reasoner;[26.17267327308655, 2.3087207878857825];[2.5768, 0.0001];[0.012, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8518, 0.0157];[0.3014, 0.0314];[1.4023, 0.0];[0.9333, 0.0199];[0.9, 0.0316];[0.958, 0.0172];[0.972, 0.0147];[0.992, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7097, 0.0481];[0.3345, 0.0962];[3.085, 0.0];[0.9209, 0.026];[0.88, 0.0335];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;transe;10;0.5;0;no_reasoner;[21.621940040588377, 0.4495538909655907];[3.3463, 0.0028];[1.5509, 0.0056];[5.1416, 0.0];[0.6101, 0.0041];[0.3308, 0.0085];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9131, 0.0026];[0.424, 0.0051];[1.4023, 0.0];[0.6401, 0.0186];[0.55, 0.0245];[0.644, 0.0307];[0.732, 0.016];[0.958, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
