Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kinship_family_small;known;complex;ncrl;100;0.5;1;dcr;[326.89311809539794, 3.588862941346389];[0.2998, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7578, 0.0033];[0.47, 0.0033];[0.47, 0.0033];[0.569, 0.0065];[0.5301, 0.0049];[0.563, 0.0082];[0.569, 0.0065];[0.5301, 0.0049];[0.563, 0.0082]
kinship_family_small;known;complex;amie;100;0.5;1;dcr;[374.8952803134918, 5.0832966526906445];[0.3717, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.8298, 0.0035];[0.4701, 0.0035];[0.4701, 0.0035];[0.5718, 0.0071];[0.532, 0.0063];[0.5676, 0.0096];[0.5756, 0.0069];[0.5356, 0.0055];[0.5721, 0.0096]
kinship_family_small;known;complex;None;100;0.5;1;dcr;[174.0384205341339, 8.198449140453613];[0.1595, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.6174, 0.0036];[0.4699, 0.0036];[0.4699, 0.0036];[0.5691, 0.0054];[0.5301, 0.0039];[0.5648, 0.0084];[0.5691, 0.0054];[0.5301, 0.0039];[0.5648, 0.0084]
kinship_family_small;known;complex;ncrl;100;0.5;1;r2n;[292.84870142936705, 7.692118333420902];[0.0133, 0.0];[0.012, 0.0001];[0.0146, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4693, 0.0033];[0.4693, 0.0033];[0.4693, 0.0033];[0.5691, 0.0064];[0.5301, 0.0049];[0.5639, 0.0092];[0.5691, 0.0064];[0.5301, 0.0049];[0.5639, 0.0092]
kinship_family_small;known;complex;amie;100;0.5;1;r2n;[325.649964094162, 19.92603751347068];[0.0133, 0.0001];[0.012, 0.0001];[0.0147, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4694, 0.0036];[0.4694, 0.0036];[0.4694, 0.0036];[0.5703, 0.0042];[0.5301, 0.0027];[0.5671, 0.0103];[0.5739, 0.0042];[0.5333, 0.0037];[0.5717, 0.0103]
kinship_family_small;known;complex;None;100;0.5;1;r2n;[144.2805465221405, 4.19785069045726];[0.0133, 0.0];[0.012, 0.0001];[0.0146, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4692, 0.0036];[0.4692, 0.0036];[0.4692, 0.0036];[0.569, 0.0069];[0.5301, 0.006];[0.5648, 0.0103];[0.569, 0.0069];[0.5301, 0.006];[0.5648, 0.0103]
kinship_family_small;known;complex;ncrl;100;0.5;1;gsbr;[160.5813425064087, 12.508621634910957];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.47, 0.0033];[0.47, 0.0033];[0.47, 0.0033];[0.569, 0.0065];[0.5301, 0.0049];[0.563, 0.0082];[0.569, 0.0065];[0.5301, 0.0049];[0.563, 0.0082]
kinship_family_small;known;complex;amie;100;0.5;1;gsbr;[153.05049686431886, 2.865277401804894];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4701, 0.0035];[0.4701, 0.0036];[0.47, 0.0035];[0.5724, 0.0071];[0.5324, 0.0058];[0.5685, 0.0088];[0.5761, 0.0069];[0.5361, 0.0053];[0.5731, 0.0088]
kinship_family_small;known;complex;None;100;0.5;1;gsbr;[91.7041989326477, 11.980809360412819];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4699, 0.0036];[0.4699, 0.0036];[0.4699, 0.0036];[0.5693, 0.0057];[0.5306, 0.004];[0.5653, 0.0094];[0.5693, 0.0057];[0.5306, 0.004];[0.5653, 0.0094]
kinship_family_small;known;complex;ncrl;100;0.5;1;cdcr;[426.29305748939515, 4.400911310096201];[0.2998, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7548, 0.0044];[0.4669, 0.0044];[0.4669, 0.0044];[0.5716, 0.0069];[0.5279, 0.0064];[0.5658, 0.0104];[0.5716, 0.0069];[0.5279, 0.0064];[0.5658, 0.0104]
