Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
nations;backward_1;complex;ncrl;100;0.5;1;dcr;[440.61791839599607, 7.393320645334211];[0.3929, 0.001];[0.0155, 0.0007];[0.0199, 0.0018];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0002];[0.9997, 0.0003];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.6442, 0.0229];[0.2668, 0.0228];[0.2712, 0.0224];[0.6042, 0.0171];[0.5886, 0.0174];[0.59, 0.0183];[0.6005, 0.0194];[0.5846, 0.0201];[0.5866, 0.0202]
nations;backward_1;complex;amie;100;0.5;1;dcr;[424.8835337638855, 6.107935846152292];[0.3916, 0.002];[0.0152, 0.0004];[0.0314, 0.0028];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.6369, 0.0164];[0.2618, 0.0156];[0.2754, 0.0173];[0.6099, 0.0123];[0.594, 0.0121];[0.594, 0.0121];[0.6139, 0.0142];[0.598, 0.0142];[0.598, 0.0142]
nations;backward_1;complex;None;100;0.5;1;dcr;[279.64486899375913, 4.885346215653118];[0.2206, 0.0034];[0.0172, 0.0023];[0.0227, 0.0038];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.474, 0.0219];[0.2688, 0.0219];[0.2779, 0.0218];[0.6037, 0.0117];[0.5871, 0.0113];[0.5891, 0.0129];[0.6017, 0.0084];[0.5851, 0.0074];[0.5871, 0.0092]
nations;backward_1;complex;ncrl;100;0.5;1;r2n;[217.89073724746703, 7.202768295372077];[0.0149, 0.0003];[0.0145, 0.0004];[0.0153, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.263, 0.0151];[0.2623, 0.0155];[0.2637, 0.0147];[0.6023, 0.0103];[0.5866, 0.0104];[0.5876, 0.01];[0.6039, 0.0134];[0.5886, 0.0138];[0.5896, 0.0132]
nations;backward_1;complex;amie;100;0.5;1;r2n;[221.88523993492126, 4.328055397333455];[0.0166, 0.0009];[0.0162, 0.0005];[0.0169, 0.0015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9997, 0.0003];[0.9994, 0.0006];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2654, 0.0105];[0.2547, 0.0112];[0.2761, 0.0101];[0.6108, 0.0111];[0.5955, 0.0111];[0.5955, 0.0111];[0.6092, 0.0144];[0.5935, 0.0146];[0.5935, 0.0146]
nations;backward_1;complex;None;100;0.5;1;r2n;[156.4401626586914, 10.309305498576787];[0.0148, 0.0003];[0.0139, 0.0003];[0.0156, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2661, 0.0153];[0.2665, 0.0151];[0.2656, 0.0155];[0.5994, 0.0142];[0.5841, 0.0145];[0.5846, 0.0138];[0.5964, 0.0074];[0.5811, 0.0084];[0.5816, 0.0079]
nations;backward_1;complex;ncrl;100;0.5;1;gsbr;[184.00047283172609, 12.171526502584443];[0.0134, 0.0002];[0.0135, 0.0002];[0.0134, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.271, 0.0172];[0.2698, 0.0177];[0.2721, 0.0168];[0.5965, 0.0089];[0.5806, 0.0093];[0.5811, 0.0088];[0.5978, 0.0084];[0.5821, 0.0086];[0.5826, 0.0082]
nations;backward_1;complex;amie;100;0.5;1;gsbr;[185.14388489723206, 13.747794881998095];[0.0136, 0.0001];[0.0138, 0.0002];[0.0134, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2642, 0.0198];[0.2632, 0.0195];[0.2651, 0.0201];[0.6085, 0.0107];[0.5925, 0.0102];[0.5935, 0.0112];[0.6081, 0.0134];[0.592, 0.013];[0.593, 0.0139]
nations;backward_1;complex;None;100;0.5;1;gsbr;[134.3105040073395, 16.847233158811722];[0.0135, 0.0002];[0.0135, 0.0002];[0.0134, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2715, 0.0221];[0.2696, 0.0225];[0.2734, 0.0218];[0.6002, 0.013];[0.5841, 0.0128];[0.5856, 0.0139];[0.5997, 0.0136];[0.5836, 0.0134];[0.5851, 0.0145]
nations;backward_1;complex;ncrl;100;0.5;1;cdcr;[643.9095259666443, 21.62185216135653];[0.4228, 0.0069];[0.0307, 0.0038];[0.065, 0.0102];[0.9999, 0.0001];[0.9999, 0.0003];[1.0, 0.0];[0.9992, 0.0006];[0.9989, 0.0011];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.6521, 0.0165];[0.2518, 0.0158];[0.3026, 0.0189];[0.6046, 0.0095];[0.5891, 0.0088];[0.59, 0.0099];[0.5978, 0.0052];[0.5816, 0.0048];[0.5831, 0.0049]
nations;backward_2;complex;ncrl;100;0.5;1;dcr;[406.80209560394286, 8.948447588482347];[0.394, 0.0024];[0.0144, 0.0012];[0.0198, 0.0033];[0.9999, 0.0003];[0.9997, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.6476, 0.0137];[0.2656, 0.013];[0.2759, 0.0144];[0.605, 0.0149];[0.5905, 0.0156];[0.591, 0.0161];[0.6015, 0.0158];[0.5871, 0.0165];[0.5876, 0.017]
