epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3408662974834442;1.0;0.7439336180686951;0.6161330342292786;0.7523820400238037;0.32862523198127747;1.0;0.7608305215835571;0.6065599918365479;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3653483986854553;1.0;0.7200437784194946;0.6302573680877686;0.726446270942688;0.35499057173728943;1.0;0.7328488230705261;0.6242938041687012;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.31732580065727234;1.0;0.7370774149894714;0.5982422828674316;0.7425131797790527;0.31355932354927063;1.0;0.7479488849639893;0.5977714657783508;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.33427494764328003;1.0;0.739275336265564;0.6115819215774536;0.7466177940368652;0.3192090392112732;1.0;0.7539603114128113;0.602165699005127;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.34557437896728516;1.0;0.7341145873069763;0.6200565099716187;0.7393103837966919;0.3361581861972809;1.0;0.7445062398910522;0.6137790679931641;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.35875704884529114;1.0;0.7260302305221558;0.6253923177719116;0.731381893157959;0.3531073331832886;1.0;0.7367335557937622;0.6224105358123779;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3116760849952698;1.0;0.7353501915931702;0.6020087599754333;0.7404710054397583;0.31450092792510986;1.0;0.7455917596817017;0.6010671257972717;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3239171504974365;1.0;0.7318618297576904;0.6059321165084839;0.7377059459686279;0.3192090392112732;1.0;0.7435500025749207;0.6037350296974182;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.33521658182144165;1.0;0.7310855984687805;0.6144067645072937;0.7348289489746094;0.33898305892944336;1.0;0.7385722398757935;0.6166039109230042;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3502824902534485;1.0;0.7311263084411621;0.623195230960846;0.737850546836853;0.3502824902534485;1.0;0.7445747256278992;0.623195230960846;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.34180790185928345;1.0;0.7358232736587524;0.6140929460525513;0.7423189878463745;0.3333333432674408;1.0;0.7488146424293518;0.6093848347663879;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3681732714176178;1.0;0.7258120775222778;0.6329253315925598;0.7334738969802856;0.3531073331832886;1.0;0.7411356568336487;0.6242938041687012;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.3446327745914459;1.0;0.7326767444610596;0.6155053973197937;0.7381414771080017;0.3465160131454468;1.0;0.7436062097549438;0.6173886060714722;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3192090392112732;1.0;0.7343127131462097;0.6049906015396118;0.7403039932250977;0.31732580065727234;1.0;0.7462952733039856;0.6031073331832886;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.32862523198127747;1.0;0.7376903891563416;0.609070897102356;0.7430881261825562;0.32203391194343567;1.0;0.7484858632087708;0.604990541934967;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.39077213406562805;1.0;0.714633584022522;0.6476773023605347;0.7205609083175659;0.3917137384414673;1.0;0.7264881730079651;0.647834300994873;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.3672316372394562;1.0;0.7154008746147156;0.6366918087005615;0.7206803560256958;0.3644067943096161;1.0;0.725959837436676;0.6362209916114807;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.3757062256336212;1.0;0.7095163464546204;0.640929102897644;0.7160156965255737;0.3785310685634613;1.0;0.7225149869918823;0.6401443481445312;NA;NA;NA;NA;NA;NA;NA;NA;NA
