epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.33435583114624023;1.0;0.7358794808387756;0.6133265495300293;0.7354158759117126;0.33435583114624023;1.0;0.734952449798584;0.6133265495300293;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.32106339931488037;1.0;0.7290522456169128;0.6054874062538147;0.7290997505187988;0.32106339931488037;1.0;0.7291472554206848;0.6054874062538147;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3139059245586395;1.0;0.7409493327140808;0.5962849855422974;0.7407976984977722;0.3139059245586395;1.0;0.7406460642814636;0.5964553952217102;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.37832310795783997;1.0;0.7291263341903687;0.6347988843917847;0.7285780906677246;0.37832310795783997;1.0;0.7280297875404358;0.6347988843917847;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3384458124637604;1.0;0.7298168540000916;0.6174165606498718;0.7297627329826355;0.3384458124637604;1.0;0.7297086119651794;0.6175869107246399;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.3353783190250397;1.0;0.7420556545257568;0.6104294657707214;0.7420556545257568;0.3353783190250397;1.0;0.7420556545257568;0.6104294657707214;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.36298567056655884;1.0;0.734326183795929;0.6281526684761047;0.7342959642410278;0.36298567056655884;1.0;0.7342658042907715;0.6281526684761047;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3251533806324005;1.0;0.7378204464912415;0.6071915626525879;0.7378261685371399;0.3251533806324005;1.0;0.7378318905830383;0.6071915626525879;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.3415133059024811;1.0;0.7406706213951111;0.6167348623275757;0.7406338453292847;0.3415133059024811;1.0;0.7405970692634583;0.6167348623275757;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.38139060139656067;1.0;0.7207202315330505;0.6390592455863953;0.7206289768218994;0.38139060139656067;1.0;0.7205377221107483;0.6390592455863953;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.34867075085639954;1.0;0.7285529375076294;0.6226993799209595;0.7286631464958191;0.34867075085639954;1.0;0.7287733554840088;0.6226993799209595;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.32822084426879883;1.0;0.7336559891700745;0.6063394546508789;0.7336763739585876;0.32822084426879883;1.0;0.7336968183517456;0.6063394546508789;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.34560325741767883;1.0;0.7239106893539429;0.6238922476768494;0.7238619327545166;0.34560325741767883;1.0;0.7238132357597351;0.6238922476768494;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3588957190513611;1.0;0.7300295233726501;0.6288343071937561;0.730049729347229;0.3588957190513611;1.0;0.7300699949264526;0.6288343071937561;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.3599182069301605;1.0;0.7152708172798157;0.6298568248748779;0.715317964553833;0.3599182069301605;1.0;0.7153650522232056;0.6298568248748779;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.36605316400527954;1.0;0.7111801505088806;0.638207197189331;0.7112320065498352;0.36605316400527954;1.0;0.7112838625907898;0.638207197189331;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.3967280089855194;1.0;0.707055926322937;0.6470687985420227;0.7071449756622314;0.3967280089855194;1.0;0.7072340846061707;0.6470687985420227;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.4171779155731201;1.0;0.6942051649093628;0.6678595542907715;0.6939190626144409;0.4171779155731201;1.0;0.6936330199241638;0.6678595542907715;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;0.39775049686431885;1.0;0.7017661929130554;0.6543967127799988;0.7016730308532715;0.39775049686431885;1.0;0.7015799283981323;0.6543967127799988;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;0.4222903847694397;1.0;0.6975707411766052;0.6658145189285278;0.6976453065872192;0.4222903847694397;1.0;0.697719931602478;0.6658145189285278;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;0.45807769894599915;1.0;0.6840779185295105;0.688309371471405;0.6841194033622742;0.45807769894599915;1.0;0.6841608881950378;0.688309371471405;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;0.4918200373649597;1.0;0.669602632522583;0.70978182554245;0.6696596145629883;0.4918200373649597;1.0;0.6697165966033936;0.70978182554245;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;0.5040899515151978;1.0;0.6619762778282166;0.7176209688186646;0.6620215177536011;0.5040899515151978;1.0;0.6620668172836304;0.7176209688186646;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;0.5102249383926392;1.0;0.6569645404815674;0.7239263653755188;0.6570802330970764;0.5102249383926392;1.0;0.6571959257125854;0.7237558960914612;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;0.5736196041107178;1.0;0.6332827210426331;0.7624402642250061;0.633325457572937;0.5736196041107178;1.0;0.633368194103241;0.7624402642250061;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;0.6134969592094421;1.0;0.6179998517036438;0.7835718989372253;0.6181978583335876;0.6134969592094421;1.0;0.6183959245681763;0.7835718989372253;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;0.6584867238998413;1.0;0.5966822504997253;0.8145875334739685;0.5967016220092773;0.6584867238998413;1.0;0.5967209935188293;0.8147580027580261;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;0.7177914381027222;1.0;0.5713094472885132;0.8454328179359436;0.5714524984359741;0.7177914381027222;1.0;0.5715954899787903;0.8454328179359436;NA;NA;NA;NA;NA;NA;NA;NA;NA
