epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3394809663295746;1.0;0.734731137752533;0.6155036687850952;0.734731137752533;0.3394809663295746;1.0;0.734731137752533;0.6155036687850952;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.33479467034339905;1.0;0.7363429665565491;0.6117915511131287;0.7363429665565491;0.33479467034339905;1.0;0.7363429665565491;0.6117915511131287;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.33267825841903687;1.0;0.7368060946464539;0.6112708449363708;0.7368060946464539;0.33267825841903687;1.0;0.7368060946464539;0.6112708449363708;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.33580246567726135;1.0;0.7363332509994507;0.6121946573257446;0.7363332509994507;0.33580246567726135;1.0;0.7363332509994507;0.6121946573257446;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3383723795413971;1.0;0.7344719767570496;0.6147646307945251;0.7344719767570496;0.3383723795413971;1.0;0.7344719767570496;0.6147646307945251;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.33479467034339905;1.0;0.7363038659095764;0.6125726103782654;0.7363038659095764;0.33479467034339905;1.0;0.7363038659095764;0.6125726103782654;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3401864469051361;1.0;0.735381007194519;0.6152012348175049;0.735381007194519;0.3401864469051361;1.0;0.735381007194519;0.6152012348175049;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.33197277784347534;1.0;0.7362836003303528;0.6100446581840515;0.7362836003303528;0.33197277784347534;1.0;0.7362836003303528;0.6100446581840515;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.33489543199539185;1.0;0.7344797253608704;0.6125810146331787;0.7344797253608704;0.33489543199539185;1.0;0.7344797253608704;0.6125810146331787;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.32990679144859314;1.0;0.7364397048950195;0.6090872883796692;0.7364397048950195;0.32990679144859314;1.0;0.7364397048950195;0.6090872883796692;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3323255181312561;1.0;0.7377513647079468;0.6103973984718323;0.7377513647079468;0.3323255181312561;1.0;0.7377513647079468;0.6103973984718323;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.34058958292007446;1.0;0.7341609597206116;0.6157556176185608;0.7341609597206116;0.34058958292007446;1.0;0.7341609597206116;0.6157556176185608;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.33494582772254944;1.0;0.7352863550186157;0.6126313805580139;0.7352863550186157;0.33494582772254944;1.0;0.7352863550186157;0.6126313805580139;NA;NA;NA;NA;NA;NA;NA;NA;NA
