epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3442211151123047;1.0;0.7242740392684937;0.6198703050613403;0.7243363261222839;0.3442211151123047;1.0;0.7243986129760742;0.6198703050613403;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3486180901527405;1.0;0.726628303527832;0.6204984188079834;0.7266385555267334;0.3486180901527405;1.0;0.72664874792099;0.6204984188079834;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.31972360610961914;1.0;0.7461218237876892;0.6011307239532471;0.7456275224685669;0.31972360610961914;1.0;0.7451332807540894;0.6011307239532471;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.33479899168014526;1.0;0.7364981770515442;0.6132748126983643;0.73631751537323;0.33479899168014526;1.0;0.736136794090271;0.6132748126983643;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.35175880789756775;1.0;0.7366405129432678;0.6200796365737915;0.7366798520088196;0.35175880789756775;1.0;0.7367191910743713;0.6200796365737915;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.35050252079963684;1.0;0.7338947057723999;0.6212312579154968;0.734066903591156;0.35050252079963684;1.0;0.7342391014099121;0.6211265921592712;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3429648280143738;1.0;0.7325594425201416;0.6182999014854431;0.7326214909553528;0.3429648280143738;1.0;0.7326833605766296;0.6182999014854431;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3410803973674774;1.0;0.7383257150650024;0.6166248321533203;0.7383037209510803;0.3410803973674774;1.0;0.7382817268371582;0.6166248321533203;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.32663315534591675;1.0;0.7449219822883606;0.6070980429649353;0.7448214292526245;0.32663315534591675;1.0;0.7447208166122437;0.6070980429649353;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3366834223270416;1.0;0.7291348576545715;0.6155779957771301;0.7289783954620361;0.3366834223270416;1.0;0.7288219332695007;0.6155779957771301;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3304020166397095;1.0;0.7371659874916077;0.6104481220245361;0.7370150685310364;0.3304020166397095;1.0;0.7368641495704651;0.6103434562683105;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3523869216442108;1.0;0.7337695360183716;0.6229062676429749;0.733714759349823;0.3523869216442108;1.0;0.7336598038673401;0.6229062676429749;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.34484925866127014;1.0;0.7306183576583862;0.6204983592033386;0.7304309606552124;0.34484925866127014;1.0;0.7302436232566833;0.6204983592033386;NA;NA;NA;NA;NA;NA;NA;NA;NA
