epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.34857723116874695;1.0;0.7325290441513062;0.6182249784469604;0.7435524463653564;0.3841463327407837;1.0;0.7545758485794067;0.6456639170646667;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.34044715762138367;1.0;0.7292705774307251;0.6151761412620544;0.7081751227378845;0.6493902206420898;1.0;0.687079668045044;0.8113143444061279;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.32926830649375916;1.0;0.731447696685791;0.6146680116653442;0.6770389080047607;0.8617886304855347;1.0;0.6226301789283752;0.9275067448616028;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.32723575830459595;1.0;0.7423755526542664;0.6046748161315918;0.6622670292854309;0.9664633870124817;1.0;0.5821585059165955;0.9823848605155945;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3130081295967102;1.0;0.7464457154273987;0.6029810905456543;0.6533709764480591;0.9796748161315918;1.0;0.5602961778640747;0.9894986152648926;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.336382120847702;1.0;0.7278109788894653;0.6124661564826965;0.6264898777008057;0.9898374080657959;1.0;0.5251687169075012;0.9944105744361877;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.30792683362960815;1.0;0.7480071187019348;0.5914633870124817;0.6402269601821899;0.9898374080657959;1.0;0.5324468612670898;0.9944105744361877;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3628048896789551;1.0;0.7280092239379883;0.6260161995887756;0.621889054775238;0.9847561120986938;1.0;0.5157688856124878;0.9910230040550232;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.33028456568717957;1.0;0.7459516525268555;0.6087398529052734;0.633183479309082;0.9857723712921143;1.0;0.5204153060913086;0.9915311336517334;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.35060974955558777;1.0;0.7279042601585388;0.6197493672370911;0.612939715385437;0.9867886304855347;1.0;0.49797523021698;0.9918699264526367;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3333333432674408;1.0;0.7437970042228699;0.6070460677146912;0.6281201839447021;0.982723593711853;1.0;0.5124434232711792;0.9900067448616028;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3455284535884857;1.0;0.7331129908561707;0.6175474524497986;0.6178629398345947;0.982723593711853;1.0;0.5026129484176636;0.9900068044662476;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.35060974955558777;1.0;0.7251296043395996;0.6227980852127075;0.6077305674552917;0.9837398529052734;1.0;0.4903315603733063;0.9901761412620544;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3353658616542816;1.0;0.7364172339439392;0.6136517524719238;0.620132565498352;0.9867886304855347;1.0;0.5038478374481201;0.9923780560493469;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.3648374080657959;1.0;0.7253128886222839;0.6361787915229797;0.6105498671531677;0.9857723712921143;1.0;0.4957868754863739;0.9922086596488953;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.35873982310295105;1.0;0.7105296850204468;0.6312669515609741;0.5964325070381165;0.9878048896789551;1.0;0.48233529925346375;0.9932249188423157;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.37093496322631836;1.0;0.7245369553565979;0.6336382031440735;0.6084955930709839;0.9878048896789551;1.0;0.4924542009830475;0.9932249784469604;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.38922762870788574;1.0;0.712348461151123;0.6490514278411865;0.5945138335227966;0.9837398529052734;1.0;0.4766791760921478;0.991023063659668;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;0.38008129596710205;1.0;0.7139067649841309;0.6424457430839539;0.5968644618988037;0.9878048896789551;1.0;0.47982221841812134;0.9928861856460571;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;0.39227643609046936;1.0;0.708793580532074;0.6470189094543457;0.5915706753730774;0.9847561120986938;1.0;0.4743478000164032;0.9911924600601196;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;0.38211381435394287;1.0;0.7072823643684387;0.6431232690811157;0.5882408618927002;0.9888211488723755;1.0;0.46919921040534973;0.993563711643219;NA;NA;NA;NA;NA;NA;NA;NA;NA
