epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.32825204730033875;1.0;0.7367779612541199;0.6095867156982422;0.7272158861160278;0.4563008248806;1.0;0.7176538705825806;0.696985125541687;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3221544623374939;1.0;0.7403950095176697;0.6006097793579102;0.7291049361228943;0.45426830649375916;1.0;0.7178148627281189;0.6922425627708435;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.33943089842796326;1.0;0.7337976098060608;0.6156843304634094;0.7201172113418579;0.5081300735473633;1.0;0.706436812877655;0.7230691313743591;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.336382120847702;1.0;0.7400830388069153;0.6143292784690857;0.7303764820098877;0.4664634168148041;1.0;0.7206699848175049;0.7003726363182068;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3211382031440735;1.0;0.7409456968307495;0.6041666865348816;0.7298020720481873;0.4603658616542816;1.0;0.718658447265625;0.6968157291412354;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.34044715762138367;1.0;0.7238383889198303;0.6183943152427673;0.7179601192474365;0.4796747863292694;1.0;0.7120818495750427;0.7049457430839539;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3353658616542816;1.0;0.7375150918960571;0.612974226474762;0.7245283722877502;0.5132113695144653;1.0;0.7115416526794434;0.7247629165649414;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3729674816131592;1.0;0.7321051955223083;0.6321138143539429;0.722386360168457;0.5101625919342041;1.0;0.7126674652099609;0.7225610017776489;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.32926830649375916;1.0;0.7390137314796448;0.6107723712921143;0.7265644073486328;0.4878048896789551;1.0;0.7141150236129761;0.7112127542495728;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3241869807243347;1.0;0.7292718887329102;0.6063686013221741;0.7178401947021484;0.48475611209869385;1.0;0.7064085602760315;0.7083333134651184;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.32723575830459595;1.0;0.7378801107406616;0.6073849201202393;0.72791987657547;0.46443089842796326;1.0;0.7179596424102783;0.6976625919342041;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.34959349036216736;1.0;0.7279948592185974;0.6192412376403809;0.7208842039108276;0.4888211488723755;1.0;0.7137735486030579;0.7095189690589905;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.3353658616542816;1.0;0.7307647466659546;0.6111111640930176;0.7218312621116638;0.48475611209869385;1.0;0.712897777557373;0.7085027694702148;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.35060974955558777;1.0;0.7262177467346191;0.6244919300079346;0.7146284580230713;0.49593496322631836;1.0;0.7030391097068787;0.7183266282081604;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.35060974955558777;1.0;0.7221456170082092;0.6229674816131592;0.7145365476608276;0.478658527135849;1.0;0.7069275379180908;0.707317054271698;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.3628048896789551;1.0;0.7175284028053284;0.6314363479614258;0.7088316679000854;0.5081300735473633;1.0;0.7001349925994873;0.722391664981842;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.3516260087490082;1.0;0.7190479040145874;0.6280487775802612;0.7120159864425659;0.4908536672592163;1.0;0.7049840688705444;0.7151083946228027;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.41260161995887756;1.0;0.6959328055381775;0.659891664981842;0.6897234916687012;0.5243902206420898;1.0;0.6835141777992249;0.7332317233085632;NA;NA;NA;NA;NA;NA;NA;NA;NA
