epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.34756097197532654;1.0;0.7294546961784363;0.6202574968338013;0.7662926912307739;0.36788618564605713;1.0;0.8031306266784668;0.6355012655258179;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3252032399177551;1.0;0.7360990047454834;0.6041666865348816;0.7784069180488586;0.3140243887901306;1.0;0.8207148313522339;0.5994241237640381;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3231707215309143;1.0;0.7409427165985107;0.6043360829353333;0.77811598777771;0.32825204730033875;1.0;0.8152892589569092;0.6100948452949524;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.336382120847702;1.0;0.7478407025337219;0.6141599416732788;0.7811163663864136;0.3841463327407837;1.0;0.81439208984375;0.6446477174758911;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3526422679424286;1.0;0.7335771918296814;0.6226286888122559;0.7693060636520386;0.3841463327407837;1.0;0.805034875869751;0.6471883058547974;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.35873982310295105;1.0;0.7205837368965149;0.6290650367736816;0.7630082368850708;0.36991870403289795;1.0;0.8054327368736267;0.6358400583267212;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.32926830649375916;1.0;0.7377983927726746;0.6073848009109497;0.7749519944190979;0.35670730471611023;1.0;0.8121055960655212;0.627540647983551;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.34044715762138367;1.0;0.7297278642654419;0.6168699264526367;0.7706624269485474;0.34044715762138367;1.0;0.8115969896316528;0.6165311336517334;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.3231707215309143;1.0;0.7518999576568604;0.6017954349517822;0.7866652011871338;0.34857723116874695;1.0;0.821430504322052;0.6222899556159973;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3628048896789551;1.0;0.7345084547996521;0.6280487775802612;0.7742094993591309;0.34857723116874695;1.0;0.8139104843139648;0.6211043000221252;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.30894309282302856;1.0;0.7497594356536865;0.5953591465950012;0.7877575159072876;0.31707316637039185;1.0;0.8257556557655334;0.6017953753471375;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3221544623374939;1.0;0.7402102947235107;0.6028116941452026;0.7759492993354797;0.33943089842796326;1.0;0.8116883039474487;0.6190718412399292;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.34654471278190613;1.0;0.7283769845962524;0.6211043000221252;0.7659583687782288;0.35873982310295105;1.0;0.8035398721694946;0.6322831511497498;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.34654471278190613;1.0;0.7306249141693115;0.620596170425415;0.7688366174697876;0.36890244483947754;1.0;0.8070483803749084;0.6365176439285278;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.353658527135849;1.0;0.7242271900177002;0.6272018551826477;0.765572190284729;0.3556910455226898;1.0;0.806917130947113;0.6321138143539429;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.3556910455226898;1.0;0.7275840044021606;0.6256774663925171;0.765258252620697;0.37906503677368164;1.0;0.8029325008392334;0.6424457430839539;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.36178863048553467;1.0;0.7228310704231262;0.6295731663703918;0.7604461312294006;0.3729674816131592;1.0;0.798061192035675;0.6368563175201416;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.38211381435394287;1.0;0.7140025496482849;0.6415988802909851;0.7545673847198486;0.3831300735473633;1.0;0.7951322793960571;0.6497288942337036;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;0.39126017689704895;1.0;0.7099705934524536;0.6492208242416382;0.7492049932479858;0.39939025044441223;1.0;0.7884393334388733;0.6597222089767456;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;0.4054878056049347;1.0;0.7068321704864502;0.6541327238082886;0.745337724685669;0.45325204730033875;1.0;0.7838432788848877;0.6905487775802612;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;0.40955284237861633;1.0;0.7051160931587219;0.6585366129875183;0.746174693107605;0.4156503975391388;1.0;0.7872333526611328;0.6641260385513306;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;0.43191057443618774;1.0;0.694920003414154;0.6710704565048218;0.73743736743927;0.4369918704032898;1.0;0.7799547910690308;0.6758130192756653;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;0.4603658616542816;1.0;0.6810705065727234;0.6891937851905823;0.724338173866272;0.48577237129211426;1.0;0.7676058411598206;0.7088413834571838;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;0.4563008248806;1.0;0.6750986576080322;0.6924118399620056;0.7176693677902222;0.5060975551605225;1.0;0.7602401375770569;0.7240853905677795;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;0.46239838004112244;1.0;0.6697996258735657;0.6980013847351074;0.7144423723220825;0.4776422679424286;1.0;0.7590850591659546;0.7093495726585388;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;0.5132113695144653;1.0;0.6516553163528442;0.7254403829574585;0.6984620094299316;0.5284552574157715;1.0;0.745268702507019;0.7339091897010803;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;0.5284552574157715;1.0;0.6359363198280334;0.7383130192756653;0.6849483251571655;0.5254064798355103;1.0;0.7339603900909424;0.7396679520606995;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;0.5609756112098694;1.0;0.6287826895713806;0.7552506327629089;0.6755785942077637;0.5924796462059021;1.0;0.7223744988441467;0.7774389982223511;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;0.5863820910453796;1.0;0.6161234974861145;0.7720189094543457;0.6679050922393799;0.5945122241973877;1.0;0.71968674659729;0.7782858610153198;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;0.625;1.0;0.5877687931060791;0.7967479825019836;0.6423866748809814;0.6290650367736816;1.0;0.6970045566558838;0.8006436228752136;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;0.6819105744361877;1.0;0.578122615814209;0.8263888359069824;0.6331077218055725;0.6788617968559265;1.0;0.6880928874015808;0.828421413898468;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;0.7093495726585388;1.0;0.5532744526863098;0.8446815013885498;0.6138365268707275;0.6829268336296082;1.0;0.67439866065979;0.832317054271698;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;0.7347561120986938;1.0;0.5388368964195251;0.8563685417175293;0.6005812883377075;0.7205284833908081;1.0;0.6623257398605347;0.8499321937561035;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;0.7489837408065796;1.0;0.5200618505477905;0.8656842708587646;0.5818847417831421;0.7418699264526367;1.0;0.6437076926231384;0.8633130192756653;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;0.7825203537940979;1.0;0.49728962779045105;0.8848237991333008;0.5612788200378418;0.767276406288147;1.0;0.6252679824829102;0.8777099847793579;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;0.8069105744361877;1.0;0.4705468714237213;0.8988820910453796;0.5357277393341064;0.792682945728302;1.0;0.6009085178375244;0.8910907506942749;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;0.8231707215309143;1.0;0.44981178641319275;0.9080284833908081;0.5179805159568787;0.8069105744361877;1.0;0.5861492156982422;0.9007452130317688;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;0.8119918704032898;1.0;0.43401601910591125;0.9024389982223511;0.5023860335350037;0.8069105744361877;1.0;0.5707560181617737;0.8980352282524109;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;0.8394308686256409;1.0;0.41461437940597534;0.9164973497390747;0.48518675565719604;0.8252032399177551;1.0;0.5557591319084167;0.909891664981842;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;0.8729674816131592;1.0;0.39525970816612244;0.934959352016449;0.4616595506668091;0.8536585569381714;1.0;0.5280593633651733;0.9251354932785034;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;0.8546748161315918;1.0;0.37635931372642517;0.9254742860794067;0.4489056468009949;0.8556910753250122;1.0;0.521452009677887;0.9261518120765686;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;0.8658536672592163;1.0;0.3643561601638794;0.931063711643219;0.43391501903533936;0.8434959053993225;1.0;0.5034738779067993;0.9203929305076599;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;0.8810975551605225;1.0;0.3460560142993927;0.9390243887901306;0.4134273827075958;0.8638211488723755;1.0;0.48079875111579895;0.9298781156539917;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;0.880081295967102;1.0;0.3316613435745239;0.9390243887901306;0.39884263277053833;0.857723593711853;1.0;0.46602389216423035;0.9261517524719238;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;0.9034552574157715;1.0;0.31417059898376465;0.9507113695144653;0.38296350836753845;0.8780487775802612;1.0;0.45175641775131226;0.9369918704032898;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;0.9065040946006775;1.0;0.3035795986652374;0.9517276287078857;0.3710298538208008;0.8709349632263184;1.0;0.43848010897636414;0.9337737560272217;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;0.9034552574157715;1.0;0.2948489487171173;0.9507113695144653;0.36272674798965454;0.8851625919342041;1.0;0.43060457706451416;0.9407181143760681;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;0.9329268336296082;1.0;0.2716813087463379;0.9657859206199646;0.33551326394081116;0.9166666865348816;1.0;0.3993452191352844;0.9563007950782776;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;0.9217479825019836;1.0;0.2725592851638794;0.9601964950561523;0.3297828435897827;0.8861788511276245;1.0;0.38700637221336365;0.9420731663703918;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;0.940040647983551;1.0;0.2553277313709259;0.9690040946006775;0.3091264069080353;0.9136179089546204;1.0;0.36292508244514465;0.9561313986778259;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;0.940040647983551;1.0;0.25197672843933105;0.9696816205978394;0.30130529403686523;0.9085366129875183;1.0;0.3506338894367218;0.9525745511054993;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;0.9380081295967102;1.0;0.24579228460788727;0.967648983001709;0.29595232009887695;0.9075203537940979;1.0;0.34611237049102783;0.9518969655036926;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;0.9593495726585388;1.0;0.23158152401447296;0.9793360829353333;0.278718501329422;0.9207317233085632;1.0;0.3258554935455322;0.9593495726585388;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;0.952235758304596;1.0;0.23050901293754578;0.9754404425621033;0.27379894256591797;0.9298780560493469;1.0;0.3170888423919678;0.9644308686256409;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;0.9603658318519592;1.0;0.22150684893131256;0.9791666865348816;0.26421788334846497;0.9380081295967102;1.0;0.30692893266677856;0.9678184986114502;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;0.9634146094322205;1.0;0.21206146478652954;0.9810298681259155;0.2532154321670532;0.9339430928230286;1.0;0.2943694293498993;0.9659552574157715;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;0.9644308686256409;1.0;0.2046796977519989;0.9817073345184326;0.24529720842838287;0.9369918704032898;1.0;0.28591471910476685;0.9662940502166748;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;0.9684959053993225;1.0;0.20173539221286774;0.9840786457061768;0.24175536632537842;0.9451219439506531;1.0;0.2817753255367279;0.9713753461837769;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;0.9725610017776489;1.0;0.1902540773153305;0.9861111640930176;0.23113217949867249;0.9512194991111755;1.0;0.27201026678085327;0.9761179089546204;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;0.9786585569381714;1.0;0.18110570311546326;0.9891599416732788;0.22091622650623322;0.9542682766914368;1.0;0.2607267498970032;0.9769647717475891;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;0.982723593711853;1.0;0.17503900825977325;0.9911924004554749;0.21564257144927979;0.9613820910453796;1.0;0.2562461197376251;0.9806910753250122;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;0.9806910753250122;1.0;0.16893444955348969;0.9903455376625061;0.2082459032535553;0.9552845358848572;1.0;0.2475573718547821;0.9774729013442993;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;0.9867886304855347;1.0;0.16105934977531433;0.9933943152427673;0.19916152954101562;0.9644308686256409;1.0;0.23726369440555573;0.9822154641151428;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;0.9817073345184326;1.0;0.15809112787246704;0.9908536672592163;0.1978318840265274;0.9634146094322205;1.0;0.23757264018058777;0.9803523421287537;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;0.9857723712921143;1.0;0.14524245262145996;0.9928861856460571;0.1917928159236908;0.9623983502388;1.0;0.23834316432476044;0.9810298085212708;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;0.9847561120986938;1.0;0.14255604147911072;0.9923780560493469;0.1864011287689209;0.9664633870124817;1.0;0.23024620115756989;0.9830623269081116;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;0.9918699264526367;1.0;0.13365456461906433;0.9959349632263184;0.17422394454479218;0.977642297744751;1.0;0.21479332447052002;0.989159882068634;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;0.9888211488723755;1.0;0.13164101541042328;0.9942411780357361;0.17397382855415344;0.9756097793579102;1.0;0.2163066416978836;0.9878048896789551;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;0.994918704032898;1.0;0.1219848170876503;0.997459352016449;0.16764205694198608;0.9756097793579102;1.0;0.21329928934574127;0.9878048896789551;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;0.9928861856460571;1.0;0.11874657869338989;0.9964430928230286;0.16118748486042023;0.9766260385513306;1.0;0.20362839102745056;0.9883130192756653;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;0.9939024448394775;1.0;0.11183086037635803;0.9967818856239319;0.1565823256969452;0.982723593711853;1.0;0.20133379101753235;0.9911924600601196;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;0.9928861856460571;1.0;0.11043131351470947;0.9964430928230286;0.15517008304595947;0.9806910753250122;1.0;0.19990883767604828;0.9901761412620544;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;0.9969512224197388;1.0;0.10430144518613815;0.9984756112098694;0.14495949447155;0.9898374080657959;1.0;0.18561755120754242;0.994918704032898;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;0.9979674816131592;1.0;0.0998285636305809;0.9989837408065796;0.14005456864833832;0.9878048896789551;1.0;0.18028058111667633;0.9939024448394775;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;0.9989837408065796;1.0;0.09863995760679245;0.9994918704032898;0.1401069313287735;0.9888211488723755;1.0;0.18157391250133514;0.9944105744361877;NA;NA;NA;NA;NA;NA;NA;NA;NA
75;0.994918704032898;1.0;0.09928573668003082;0.9972900152206421;0.13870036602020264;0.9857723712921143;1.0;0.17811498045921326;0.9932249784469604;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;1.0;1.0;0.09303376823663712;1.0;0.13161702454090118;0.9898374080657959;1.0;0.17020028829574585;0.994918704032898;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;1.0;1.0;0.08859007805585861;1.0;0.12897184491157532;0.9928861856460571;1.0;0.16935360431671143;0.9959349632263184;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;0.9989837408065796;1.0;0.08660068362951279;0.9994918704032898;0.12520615756511688;0.9928861856460571;1.0;0.16381162405014038;0.9964430928230286;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;0.9979674816131592;1.0;0.08448122441768646;0.9989837408065796;0.12527993321418762;0.9908536672592163;1.0;0.16607864201068878;0.9952574968338013;NA;NA;NA;NA;NA;NA;NA;NA;NA
80;1.0;1.0;0.07932247221469879;1.0;0.12166304141283035;0.9908536672592163;1.0;0.16400361061096191;0.9954268336296082;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;0.9989837408065796;1.0;0.07680556178092957;0.9994918704032898;0.11677771061658859;0.994918704032898;1.0;0.15674984455108643;0.997459352016449;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;1.0;1.0;0.0752406045794487;1.0;0.11487855017185211;0.994918704032898;1.0;0.15451648831367493;0.997459352016449;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;1.0;1.0;0.07157835364341736;1.0;0.11383557319641113;0.9959349632263184;1.0;0.1560927927494049;0.9979674816131592;NA;NA;NA;NA;NA;NA;NA;NA;NA
