epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3198198080062866;1.0;1.0;0.7388525009155273;0.6033033132553101;0.7386270761489868;1.0;0.3198198080062866;1.0;1.0;0.7384016513824463;0.6036036610603333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3243243098258972;1.0;1.0;0.7286587953567505;0.6081081628799438;0.7283554077148438;1.0;0.3243243098258972;1.0;1.0;0.7280519604682922;0.6081081032752991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.31801801919937134;1.0;1.0;0.7295294404029846;0.6060060858726501;0.729195237159729;1.0;0.31801801919937134;1.0;1.0;0.7288610935211182;0.6060060858726501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.32072073221206665;1.0;1.0;0.7395429611206055;0.6051051020622253;0.739828884601593;1.0;0.32072073221206665;1.0;1.0;0.7401148080825806;0.6048048138618469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3351351320743561;1.0;1.0;0.7430129647254944;0.6094594597816467;0.742865800857544;1.0;0.3351351320743561;1.0;1.0;0.7427186965942383;0.6097597479820251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.342342346906662;1.0;1.0;0.7308681011199951;0.619369387626648;0.7308369278907776;1.0;0.342342346906662;1.0;1.0;0.7308057546615601;0.619369387626648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.32522523403167725;1.0;1.0;0.7363170385360718;0.607207179069519;0.7363337874412537;1.0;0.3243243098258972;1.0;1.0;0.7363505363464355;0.6067567467689514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.35315313935279846;1.0;1.0;0.7327640652656555;0.6222222447395325;0.7326576113700867;1.0;0.35315313935279846;1.0;1.0;0.7325511574745178;0.6223723888397217;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.32792791724205017;1.0;1.0;0.742436408996582;0.6063063740730286;0.7425351142883301;1.0;0.32792791724205017;1.0;1.0;0.7426338791847229;0.6064565181732178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3261261284351349;1.0;1.0;0.7323442101478577;0.6084083914756775;0.7322314977645874;1.0;0.3261261284351349;1.0;1.0;0.7321187257766724;0.6085585355758667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
