epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3190183937549591;1.0;1.0;0.7382399439811707;0.6044648885726929;0.7382858395576477;1.0;0.3190183937549591;1.0;1.0;0.7383317351341248;0.6044648885726929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3364008069038391;1.0;1.0;0.7284619212150574;0.6184390187263489;0.7282755374908447;1.0;0.3364008069038391;1.0;1.0;0.7280892133712769;0.6184390187263489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3599182069301605;1.0;1.0;0.7278335094451904;0.626789391040802;0.7278125286102295;1.0;0.3599182069301605;1.0;1.0;0.7277915477752686;0.626789391040802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.31799590587615967;1.0;1.0;0.7426983714103699;0.6019086241722107;0.7425529956817627;1.0;0.31799590587615967;1.0;1.0;0.7424075603485107;0.6019086241722107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3241308927536011;1.0;1.0;0.7480283379554749;0.6034424304962158;0.7479314804077148;1.0;0.3241308927536011;1.0;1.0;0.7478346228599548;0.6034424304962158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3251533806324005;1.0;1.0;0.7383541464805603;0.6039535999298096;0.7378966212272644;1.0;0.3251533806324005;1.0;1.0;0.7374390959739685;0.6039535999298096;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.32617586851119995;1.0;1.0;0.7348365187644958;0.607021152973175;0.7345836758613586;1.0;0.32617586851119995;1.0;1.0;0.7343308329582214;0.6071915030479431;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3220858871936798;1.0;1.0;0.7413881421089172;0.6008861064910889;0.7413493394851685;1.0;0.3220858871936798;1.0;1.0;0.7413105368614197;0.6008861064910889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3558282256126404;1.0;1.0;0.7334232926368713;0.6218473315238953;0.7332620620727539;1.0;0.3568507134914398;1.0;1.0;0.7331008911132812;0.6223585605621338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.34049078822135925;1.0;1.0;0.7251306176185608;0.6175869107246399;0.7249940633773804;1.0;0.34049078822135925;1.0;1.0;0.7248574495315552;0.6177573204040527;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
