epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.338567852973938;1.0;1.0;0.7349746227264404;0.6179858446121216;0.7561894655227661;1.0;0.3184673488140106;1.0;1.0;0.7774043083190918;0.6074121594429016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3599246144294739;1.0;1.0;0.7272552251815796;0.6229062676429749;0.7401031255722046;1.0;0.4089196026325226;1.0;1.0;0.7529510259628296;0.6591290235519409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.33793970942497253;1.0;1.0;0.7327446937561035;0.6144264340400696;0.7312211990356445;1.0;0.4773869216442108;1.0;1.0;0.7296977043151855;0.7010050415992737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34610551595687866;1.0;1.0;0.7282141447067261;0.6200796365737915;0.7268660664558411;1.0;0.5037688612937927;1.0;1.0;0.725517988204956;0.7168132662773132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.329773873090744;1.0;1.0;0.7383414506912231;0.608982503414154;0.7268804311752319;1.0;0.520100474357605;1.0;1.0;0.7154192924499512;0.7253978252410889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.34170854091644287;1.0;1.0;0.7364308834075928;0.617881178855896;0.7237993478775024;1.0;0.5471105575561523;1.0;1.0;0.7111677527427673;0.7411013841629028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.34045225381851196;1.0;1.0;0.7361233830451965;0.6169388890266418;0.7170167565345764;1.0;0.5609296560287476;1.0;1.0;0.6979101896286011;0.7494765520095825;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.33919596672058105;1.0;1.0;0.7352800369262695;0.6125419735908508;0.7135668992996216;1.0;0.5684673190116882;1.0;1.0;0.6918538212776184;0.7515703439712524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3253768980503082;1.0;1.0;0.7408064603805542;0.603015124797821;0.7186126708984375;1.0;0.554648220539093;1.0;1.0;0.6964189410209656;0.7407872676849365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.34359297156333923;1.0;1.0;0.7315430045127869;0.6158920526504517;0.7042397856712341;1.0;0.5804020166397095;1.0;1.0;0.6769366264343262;0.7569096088409424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.30967336893081665;1.0;1.0;0.7427887916564941;0.5944305658340454;0.7615551948547363;1.0;0.31658291816711426;1.0;1.0;0.7803216576576233;0.5993509888648987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3241206109523773;1.0;1.0;0.7416700720787048;0.6035386323928833;0.751762866973877;1.0;0.38253769278526306;1.0;1.0;0.7618557214736938;0.6424832940101624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3523869216442108;1.0;1.0;0.737510085105896;0.6218593716621399;0.7371007800102234;1.0;0.4535175859928131;1.0;1.0;0.7366914749145508;0.6891750693321228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34736180305480957;1.0;1.0;0.7285927534103394;0.6212312579154968;0.7243489623069763;1.0;0.5012562870979309;1.0;1.0;0.7201051712036133;0.7137772440910339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.338567852973938;1.0;1.0;0.7363722920417786;0.6148451566696167;0.7278735041618347;1.0;0.5138190984725952;1.0;1.0;0.7193747758865356;0.7198492288589478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3486180901527405;1.0;1.0;0.7211799025535583;0.6243718862533569;0.7120152711868286;1.0;0.5508794188499451;1.0;1.0;0.7028506994247437;0.7441374063491821;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.32349246740341187;1.0;1.0;0.7388562560081482;0.6076215505599976;0.7239013910293579;1.0;0.5427135825157166;1.0;1.0;0.7089465260505676;0.739635705947876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.32663315534591675;1.0;1.0;0.7332752346992493;0.6109716296195984;0.7120096683502197;1.0;0.5496231317520142;1.0;1.0;0.6907440423965454;0.7436138391494751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.34484925866127014;1.0;1.0;0.7294006943702698;0.617043673992157;0.7077529430389404;1.0;0.5533919334411621;1.0;1.0;0.6861051917076111;0.7416247725486755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3454773724079132;1.0;1.0;0.7368131875991821;0.6174623966217041;0.7108170986175537;1.0;0.5659547448158264;1.0;1.0;0.6848209500312805;0.751675009727478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
