epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3241206109523773;1.0;1.0;0.7343723773956299;0.6063652038574219;0.7343723773956299;1.0;0.3241206109523773;1.0;1.0;0.7343723773956299;0.6063652038574219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.33354270458221436;1.0;1.0;0.7325652837753296;0.6126466393470764;0.7325652837753296;1.0;0.33354270458221436;1.0;1.0;0.7325652837753296;0.6126466393470764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3272612988948822;1.0;1.0;0.735774040222168;0.611704409122467;0.735774040222168;1.0;0.3272612988948822;1.0;1.0;0.735774040222168;0.611704409122467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.33605527877807617;1.0;1.0;0.7346339225769043;0.6176717281341553;0.7346339225769043;1.0;0.33605527877807617;1.0;1.0;0.7346339225769043;0.6176717281341553;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3366834223270416;1.0;1.0;0.7295073866844177;0.6148450970649719;0.7295073866844177;1.0;0.3366834223270416;1.0;1.0;0.7295073866844177;0.6148450970649719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3442211151123047;1.0;1.0;0.7304025888442993;0.6190327405929565;0.7304025888442993;1.0;0.3442211151123047;1.0;1.0;0.7304025888442993;0.6190327405929565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.338567852973938;1.0;1.0;0.734948992729187;0.6145310997962952;0.734948992729187;1.0;0.338567852973938;1.0;1.0;0.734948992729187;0.6145310997962952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3454773724079132;1.0;1.0;0.7393524050712585;0.6171483397483826;0.7393524050712585;1.0;0.3454773724079132;1.0;1.0;0.7393524050712585;0.6171483397483826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.34359297156333923;1.0;1.0;0.7406005859375;0.6151592135429382;0.7406005859375;1.0;0.34359297156333923;1.0;1.0;0.7406005859375;0.6151592135429382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3253768980503082;1.0;1.0;0.7376449704170227;0.6031197905540466;0.7376449704170227;1.0;0.3253768980503082;1.0;1.0;0.7376449704170227;0.6031197905540466;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.3329145610332489;1.0;1.0;0.7359037399291992;0.6106575727462769;0.7359037399291992;1.0;0.3329145610332489;1.0;1.0;0.7359037399291992;0.6106575727462769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3310301601886749;1.0;1.0;0.7321908473968506;0.612751305103302;0.7321908473968506;1.0;0.3310301601886749;1.0;1.0;0.7321908473968506;0.612751305103302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.34736180305480957;1.0;1.0;0.7282901406288147;0.6209171414375305;0.7282901406288147;1.0;0.34736180305480957;1.0;1.0;0.7282901406288147;0.6209171414375305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3304020166397095;1.0;1.0;0.7327931523323059;0.6100293397903442;0.7327931523323059;1.0;0.3304020166397095;1.0;1.0;0.7327931523323059;0.6100293397903442;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.31092965602874756;1.0;1.0;0.7474602460861206;0.5980947017669678;0.7474602460861206;1.0;0.31092965602874756;1.0;1.0;0.7474602460861206;0.5980947017669678;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.33228641748428345;1.0;1.0;0.7346898317337036;0.608144998550415;0.7346898317337036;1.0;0.33228641748428345;1.0;1.0;0.7346898317337036;0.608144998550415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33354270458221436;1.0;1.0;0.7331805229187012;0.6115997433662415;0.7331805229187012;1.0;0.33354270458221436;1.0;1.0;0.7331805229187012;0.6115997433662415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.31658291816711426;1.0;1.0;0.7422037720680237;0.6020729541778564;0.7422037720680237;1.0;0.31658291816711426;1.0;1.0;0.7422037720680237;0.6020729541778564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3498743772506714;1.0;1.0;0.7333182096481323;0.6192421317100525;0.7333182096481323;1.0;0.3498743772506714;1.0;1.0;0.7333182096481323;0.6192421317100525;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.32914572954177856;1.0;1.0;0.7403872013092041;0.6097152829170227;0.7403872013092041;1.0;0.32914572954177856;1.0;1.0;0.7403872013092041;0.6097152829170227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.33793970942497253;1.0;1.0;0.7393606901168823;0.6145310401916504;0.7393606901168823;1.0;0.33793970942497253;1.0;1.0;0.7393606901168823;0.6145310401916504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
