epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3329145610332489;1.0;1.0;0.7338757514953613;0.610866904258728;0.7322990894317627;1.0;0.34924623370170593;1.0;1.0;0.7307224273681641;0.6209171414375305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3329145610332489;1.0;1.0;0.7302031517028809;0.6107621788978577;0.728268563747406;1.0;0.3536432087421417;1.0;1.0;0.7263339757919312;0.6235344409942627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3172110617160797;1.0;1.0;0.7390095591545105;0.6027010679244995;0.7358373999595642;1.0;0.3398241102695465;1.0;1.0;0.7326652407646179;0.6163108348846436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3486180901527405;1.0;1.0;0.7338586449623108;0.6192421317100525;0.7297894358634949;1.0;0.37876883149147034;1.0;1.0;0.7257202863693237;0.6365159153938293;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3247487545013428;1.0;1.0;0.7390515208244324;0.6056324243545532;0.734477162361145;1.0;0.35175880789756775;1.0;1.0;0.7299028038978577;0.6212312579154968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3103015124797821;1.0;1.0;0.7354124188423157;0.601340115070343;0.7301818132400513;1.0;0.34170854091644287;1.0;1.0;0.7249511480331421;0.619556188583374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3316583037376404;1.0;1.0;0.7407213449478149;0.6107621788978577;0.7350190877914429;1.0;0.3611809015274048;1.0;1.0;0.729316771030426;0.6279313564300537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.35050252079963684;1.0;1.0;0.7311846017837524;0.6217547059059143;0.7272741198539734;1.0;0.3806532621383667;1.0;1.0;0.7233638167381287;0.6400754451751709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3580402135848999;1.0;1.0;0.7373301386833191;0.6233250498771667;0.7327725291252136;1.0;0.3875628113746643;1.0;1.0;0.7282149195671082;0.6409130096435547;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.33479899168014526;1.0;1.0;0.7304949760437012;0.6123325824737549;0.7256139516830444;1.0;0.36871859431266785;1.0;1.0;0.7207328677177429;0.6324331164360046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.3316583037376404;1.0;1.0;0.7323507070541382;0.6104481816291809;0.7313641309738159;1.0;0.3442211151123047;1.0;1.0;0.7303774952888489;0.6184046268463135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.329773873090744;1.0;1.0;0.7370729446411133;0.6105528473854065;0.7344428300857544;1.0;0.34924623370170593;1.0;1.0;0.7318127751350403;0.6230109333992004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3410803973674774;1.0;1.0;0.7321229577064514;0.6180905103683472;0.7295254468917847;1.0;0.36620602011680603;1.0;1.0;0.7269279956817627;0.6332705616950989;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
