epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3360360264778137;1.0;1.0;0.7391992807388306;0.6102102398872375;0.7452228665351868;1.0;0.3450450599193573;1.0;1.0;0.751246452331543;0.6178678870201111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3585585653781891;1.0;1.0;0.7283846735954285;0.6271772384643555;0.7285020351409912;1.0;0.36486485600471497;1.0;1.0;0.7286194562911987;0.6316816806793213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3144144117832184;1.0;1.0;0.7445834279060364;0.6003003120422363;0.742992639541626;1.0;0.3144144117832184;1.0;1.0;0.7414018511772156;0.601801872253418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30450451374053955;1.0;1.0;0.7412201166152954;0.5933933854103088;0.7425081729888916;1.0;0.33243241906166077;1.0;1.0;0.743796169757843;0.6115615367889404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3234234154224396;1.0;1.0;0.7438489198684692;0.6052552461624146;0.743736982345581;1.0;0.32252252101898193;1.0;1.0;0.7436250448226929;0.6051051020622253;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3378378450870514;1.0;1.0;0.7400386333465576;0.6147147417068481;0.7395449280738831;1.0;0.3405405282974243;1.0;1.0;0.7390512228012085;0.6160660982131958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33693695068359375;1.0;1.0;0.7400668263435364;0.6120119690895081;0.7399387955665588;1.0;0.33693695068359375;1.0;1.0;0.7398107647895813;0.6120119690895081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3495495617389679;1.0;1.0;0.7298077344894409;0.6226727366447449;0.7295234203338623;1.0;0.35045045614242554;1.0;1.0;0.7292391657829285;0.6232733130455017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3216216266155243;1.0;1.0;0.7421008944511414;0.6028529405593872;0.74211585521698;1.0;0.3216216266155243;1.0;1.0;0.7421308159828186;0.6028529405593872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.32522523403167725;1.0;1.0;0.7367813587188721;0.6049549579620361;0.7367481589317322;1.0;0.32522523403167725;1.0;1.0;0.7367149591445923;0.6048048138618469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.37117117643356323;1.0;1.0;0.7279555797576904;0.6378378868103027;0.7279742360115051;1.0;0.37117117643356323;1.0;1.0;0.7279928922653198;0.6378378868103027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.34864863753318787;1.0;1.0;0.7263507843017578;0.6217718124389648;0.7263507843017578;1.0;0.34864863753318787;1.0;1.0;0.7263507843017578;0.6217718124389648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3675675690174103;1.0;1.0;0.7171014547348022;0.6361861824989319;0.7171014547348022;1.0;0.3675675690174103;1.0;1.0;0.7171014547348022;0.6361861824989319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.3495495617389679;1.0;1.0;0.7261370420455933;0.6241742372512817;0.7260558605194092;1.0;0.3495495617389679;1.0;1.0;0.7259746789932251;0.6241742372512817;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
