epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.342342346906662;1.0;1.0;0.7333469986915588;0.6157657504081726;0.7440690994262695;1.0;0.3360360264778137;1.0;1.0;0.7367912530899048;0.6117117404937744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3315315246582031;1.0;1.0;0.7395541667938232;0.607357382774353;0.7492735385894775;1.0;0.33243241906166077;1.0;1.0;0.7411127090454102;0.6085585355758667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3288288414478302;1.0;1.0;0.7338639497756958;0.6093093752861023;0.7439144849777222;1.0;0.33243241906166077;1.0;1.0;0.7362040877342224;0.6120120286941528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3261261284351349;1.0;1.0;0.7344865202903748;0.6070570349693298;0.7440162897109985;1.0;0.32252252101898193;1.0;1.0;0.7359040379524231;0.6043543219566345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3099099099636078;1.0;1.0;0.746942937374115;0.5969970226287842;0.7572242021560669;1.0;0.31081080436706543;1.0;1.0;0.7499819993972778;0.5954955220222473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3513513505458832;1.0;1.0;0.7329578995704651;0.6225225925445557;0.7439641356468201;1.0;0.3477477431297302;1.0;1.0;0.7375649809837341;0.6198198199272156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.32522523403167725;1.0;1.0;0.7346025109291077;0.6091591119766235;0.7453454732894897;1.0;0.3216216266155243;1.0;1.0;0.7388006448745728;0.6060060262680054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.33693695068359375;1.0;1.0;0.7401232719421387;0.6135135889053345;0.7490288615226746;1.0;0.3378378450870514;1.0;1.0;0.7407639026641846;0.616366446018219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3333333432674408;1.0;1.0;0.741565465927124;0.6085585951805115;0.751166820526123;1.0;0.32792791724205017;1.0;1.0;0.7437143921852112;0.6061561107635498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.31801801919937134;1.0;1.0;0.7413600087165833;0.6000000238418579;0.7518212795257568;1.0;0.3144144117832184;1.0;1.0;0.7453451156616211;0.595795750617981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
