epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.34414413571357727;1.0;1.0;0.7279439568519592;0.6207207441329956;0.7271190285682678;1.0;0.34414413571357727;1.0;1.0;0.7262941002845764;0.6205706000328064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.32702702283859253;1.0;1.0;0.7337611317634583;0.6048048138618469;0.7337658405303955;1.0;0.32702702283859253;1.0;1.0;0.733770489692688;0.6048048138618469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3216216266155243;1.0;1.0;0.7398698329925537;0.6039038896560669;0.739714503288269;1.0;0.3216216266155243;1.0;1.0;0.7395592331886292;0.6037537455558777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.31081080436706543;1.0;1.0;0.7357618808746338;0.5977477431297302;0.7354025840759277;1.0;0.31081080436706543;1.0;1.0;0.7350432872772217;0.5975976586341858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.33423423767089844;1.0;1.0;0.7378262281417847;0.6132132411003113;0.7375984787940979;1.0;0.33423423767089844;1.0;1.0;0.7373707294464111;0.6135135889053345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3216216266155243;1.0;1.0;0.7411026954650879;0.6046546697616577;0.7410662770271301;1.0;0.3216216266155243;1.0;1.0;0.7410298585891724;0.6045045852661133;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3405405282974243;1.0;1.0;0.7406612634658813;0.6139639616012573;0.7406617403030396;1.0;0.3405405282974243;1.0;1.0;0.7406622171401978;0.6139639616012573;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.33693695068359375;1.0;1.0;0.7425081729888916;0.6127628087997437;0.7424161434173584;1.0;0.33693695068359375;1.0;1.0;0.7423241138458252;0.6130630970001221;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3450450599193573;1.0;1.0;0.7433758974075317;0.6142643094062805;0.7434996366500854;1.0;0.3450450599193573;1.0;1.0;0.7436234354972839;0.6141141057014465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3477477431297302;1.0;1.0;0.7232394814491272;0.621921956539154;0.7232992649078369;1.0;0.3477477431297302;1.0;1.0;0.7233590483665466;0.6217718124389648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.36486485600471497;1.0;1.0;0.7212092876434326;0.6304805278778076;0.7212321758270264;1.0;0.36486485600471497;1.0;1.0;0.7212551236152649;0.6303303241729736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.33693695068359375;1.0;1.0;0.7296290397644043;0.6151651740074158;0.7293422818183899;1.0;0.33693695068359375;1.0;1.0;0.7290555238723755;0.6153153777122498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3630630671977997;1.0;1.0;0.7331592440605164;0.6310811042785645;0.733352780342102;1.0;0.3630630671977997;1.0;1.0;0.7335463166236877;0.6310811042785645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34144145250320435;1.0;1.0;0.7323521375656128;0.6148649454116821;0.7325039505958557;1.0;0.34144145250320435;1.0;1.0;0.7326557636260986;0.6150150299072266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3099099099636078;1.0;1.0;0.7425598502159119;0.5981982350349426;0.7425228953361511;1.0;0.3099099099636078;1.0;1.0;0.7424859404563904;0.5978978872299194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.34414413571357727;1.0;1.0;0.7330769896507263;0.6171171069145203;0.7331185340881348;1.0;0.34414413571357727;1.0;1.0;0.7331600189208984;0.6171171069145203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.32072073221206665;1.0;1.0;0.7336550354957581;0.6036036610603333;0.7335779666900635;1.0;0.32072073221206665;1.0;1.0;0.7335008978843689;0.6036036610603333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.32252252101898193;1.0;1.0;0.7326822876930237;0.6076576709747314;0.7321425676345825;1.0;0.32252252101898193;1.0;1.0;0.7316027879714966;0.6079580187797546;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3333333432674408;1.0;1.0;0.7364574074745178;0.6129128932952881;0.7363336682319641;1.0;0.3333333432674408;1.0;1.0;0.7362099289894104;0.6130630970001221;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3333333432674408;1.0;1.0;0.7372671961784363;0.6124624609947205;0.737160325050354;1.0;0.3333333432674408;1.0;1.0;0.7370535135269165;0.6124624609947205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.31801801919937134;1.0;1.0;0.7328331470489502;0.605705738067627;0.7327734231948853;1.0;0.318918913602829;1.0;1.0;0.7327136993408203;0.6060060262680054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
