epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3360360264778137;1.0;1.0;1.5519225597381592;0.6100600957870483;1.4974462985992432;1.0;0.3477477431297302;1.0;1.0;1.4429699182510376;0.6150150299072266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3585585653781891;1.0;1.0;1.5494043827056885;0.6271772384643555;1.494497299194336;1.0;0.35045045614242554;1.0;1.0;1.4395900964736938;0.6235736012458801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3144144117832184;1.0;1.0;1.5552303791046143;0.5998499393463135;1.4968628883361816;1.0;0.32702702283859253;1.0;1.0;1.438495397567749;0.6058558821678162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30450451374053955;1.0;1.0;1.5566248893737793;0.5932433009147644;1.5055842399597168;1.0;0.3072071969509125;1.0;1.0;1.4545437097549438;0.593693733215332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3216216266155243;1.0;1.0;1.5504401922225952;0.6042041778564453;1.4940495491027832;1.0;0.32072073221206665;1.0;1.0;1.4376590251922607;0.6054053902626038;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.33423423767089844;1.0;1.0;1.5467991828918457;0.6126126050949097;1.4942705631256104;1.0;0.33423423767089844;1.0;1.0;1.4417420625686646;0.6123123168945312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3351351320743561;1.0;1.0;1.545703649520874;0.6109609603881836;1.4917432069778442;1.0;0.3522522449493408;1.0;1.0;1.4377827644348145;0.621021032333374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.342342346906662;1.0;1.0;1.53770911693573;0.6183183789253235;1.4862909317016602;1.0;0.35495495796203613;1.0;1.0;1.4348727464675903;0.6264264583587646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3144144117832184;1.0;1.0;1.5493686199188232;0.5981981754302979;1.4958674907684326;1.0;0.31621623039245605;1.0;1.0;1.4423664808273315;0.6019519567489624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3144144117832184;1.0;1.0;1.5590221881866455;0.598498523235321;1.501503586769104;1.0;0.3378378450870514;1.0;1.0;1.4439849853515625;0.6145645380020142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.35765767097473145;1.0;1.0;1.533868432044983;0.6273273825645447;1.4817721843719482;1.0;0.3468468487262726;1.0;1.0;1.4296759366989136;0.621021032333374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
