epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3288288414478302;1.0;1.0;1.5528407096862793;0.6085585951805115;1.4876503944396973;1.0;0.31351351737976074;1.0;1.0;1.4044601917266846;0.6028528809547424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3261261284351349;1.0;1.0;1.5561604499816895;0.6052552461624146;1.4850506782531738;1.0;0.32252252101898193;1.0;1.0;1.3960607051849365;0.6069069504737854;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.33693695068359375;1.0;1.0;1.5514373779296875;0.612162172794342;1.4815759658813477;1.0;0.3396396338939667;1.0;1.0;1.3939536809921265;0.616966962814331;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3306306302547455;1.0;1.0;1.544831395149231;0.6096096038818359;1.47466242313385;1.0;0.3495495617389679;1.0;1.0;1.38685142993927;0.6238739490509033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3819819688796997;1.0;1.0;1.5364445447921753;0.6384384632110596;1.4669297933578491;1.0;0.3774774670600891;1.0;1.0;1.3798915147781372;0.6406906843185425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3315315246582031;1.0;1.0;1.5448307991027832;0.6087087392807007;1.471769094467163;1.0;0.35495495796203613;1.0;1.0;1.3813018798828125;0.629879891872406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.342342346906662;1.0;1.0;1.548026442527771;0.6153153777122498;1.4752249717712402;1.0;0.3558558523654938;1.0;1.0;1.3851357698440552;0.6282283067703247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.35765767097473145;1.0;1.0;1.545727014541626;0.6268768906593323;1.4744434356689453;1.0;0.37387385964393616;1.0;1.0;1.3859894275665283;0.6400901079177856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.38558557629585266;1.0;1.0;1.52949059009552;0.6435436010360718;1.458829402923584;1.0;0.4027026891708374;1.0;1.0;1.3711143732070923;0.6527027487754822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3288288414478302;1.0;1.0;1.5437809228897095;0.610510528087616;1.470996379852295;1.0;0.35495495796203613;1.0;1.0;1.3812743425369263;0.6261261701583862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.34594595432281494;1.0;1.0;1.5454628467559814;0.6189188957214355;1.4685238599777222;1.0;0.37117117643356323;1.0;1.0;1.3747632503509521;0.638888955116272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.32522523403167725;1.0;1.0;1.549631118774414;0.606606662273407;1.473130702972412;1.0;0.36216217279434204;1.0;1.0;1.3799234628677368;0.6288288235664368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.35495495796203613;1.0;1.0;1.5414597988128662;0.6235736012458801;1.4662503004074097;1.0;0.3747747838497162;1.0;1.0;1.3744477033615112;0.6409910321235657;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.33423423767089844;1.0;1.0;1.5454005002975464;0.6124625205993652;1.4671285152435303;1.0;0.36216217279434204;1.0;1.0;1.3723771572113037;0.6318319439888;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.34144145250320435;1.0;1.0;1.5394952297210693;0.6180180311203003;1.462799072265625;1.0;0.36486485600471497;1.0;1.0;1.369737148284912;0.6340840458869934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3450450599193573;1.0;1.0;1.546629786491394;0.621021032333374;1.468843936920166;1.0;0.36936935782432556;1.0;1.0;1.3748060464859009;0.6340841054916382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3234234154224396;1.0;1.0;1.5403860807418823;0.6030030250549316;1.4600117206573486;1.0;0.361261248588562;1.0;1.0;1.3634990453720093;0.6289790272712708;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.3558558523654938;1.0;1.0;1.5408331155776978;0.6244744658470154;1.4633991718292236;1.0;0.3774774670600891;1.0;1.0;1.3699405193328857;0.6444444060325623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.33693695068359375;1.0;1.0;1.5468122959136963;0.6130630970001221;1.468473196029663;1.0;0.3630630671977997;1.0;1.0;1.374223232269287;0.6303303837776184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.35315313935279846;1.0;1.0;1.5413260459899902;0.6187688112258911;1.46299409866333;1.0;0.37837839126586914;1.0;1.0;1.3688658475875854;0.6403904557228088;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.315315306186676;1.0;1.0;1.5447113513946533;0.6019519567489624;1.464228630065918;1.0;0.35315313935279846;1.0;1.0;1.3680617809295654;0.6255255341529846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.30180180072784424;1.0;1.0;1.5558276176452637;0.5954955220222473;1.4754728078842163;1.0;0.3396396338939667;1.0;1.0;1.3795435428619385;0.6211711764335632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.3216216266155243;1.0;1.0;1.5538493394851685;0.5989490151405334;1.46993088722229;1.0;0.35945945978164673;1.0;1.0;1.370546579360962;0.6238738894462585;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.32072073221206665;1.0;1.0;1.5451253652572632;0.6042042374610901;1.4609074592590332;1.0;0.3702702820301056;1.0;1.0;1.3613309860229492;0.6385886669158936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.3144144117832184;1.0;1.0;1.5547878742218018;0.5990991592407227;1.4718213081359863;1.0;0.36036035418510437;1.0;1.0;1.3736017942428589;0.6291292309761047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.3468468487262726;1.0;1.0;1.5491716861724854;0.6190690994262695;1.4661939144134521;1.0;0.3837837874889374;1.0;1.0;1.3680680990219116;0.6444444060325623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.3243243098258972;1.0;1.0;1.5507550239562988;0.601801872253418;1.4647996425628662;1.0;0.3729729652404785;1.0;1.0;1.3637993335723877;0.6330330967903137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.3333333432674408;1.0;1.0;1.5440558195114136;0.6139639616012573;1.4591679573059082;1.0;0.37387385964393616;1.0;1.0;1.3593357801437378;0.6447448134422302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.3774774670600891;1.0;1.0;1.5391038656234741;0.6381381750106812;1.4573285579681396;1.0;0.4009009003639221;1.0;1.0;1.3607100248336792;0.6570571064949036;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.31081080436706543;1.0;1.0;1.5508626699447632;0.597447395324707;1.4663621187210083;1.0;0.37567567825317383;1.0;1.0;1.3671187162399292;0.6372372508049011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1.0;0.3315315246582031;1.0;1.0;1.553985595703125;0.608408510684967;1.466186761856079;1.0;0.3981981873512268;1.0;1.0;1.363746166229248;0.6495496034622192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1.0;0.33243241906166077;1.0;1.0;1.5523498058319092;0.6102101802825928;1.4655251502990723;1.0;0.39729729294776917;1.0;1.0;1.364162564277649;0.6527027487754822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;1.0;0.33873873949050903;1.0;1.0;1.546331763267517;0.610510528087616;1.460486650466919;1.0;0.39009007811546326;1.0;1.0;1.3602101802825928;0.6421922445297241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;1.0;0.3378378450870514;1.0;1.0;1.5437612533569336;0.6121621131896973;1.4551386833190918;1.0;0.39909911155700684;1.0;1.0;1.3521897792816162;0.6554054617881775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;1.0;0.3360360264778137;1.0;1.0;1.5598790645599365;0.6100600957870483;1.4696311950683594;1.0;0.3963963985443115;1.0;1.0;1.365164041519165;0.6487988233566284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
