epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3360360264778137;1.0;1.0;1.5510653257369995;0.6142643094062805;1.4857487678527832;1.0;0.32792791724205017;1.0;1.0;1.4024323225021362;0.6115615963935852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3171171247959137;1.0;1.0;1.5463519096374512;0.6040540933609009;1.474869966506958;1.0;0.3243243098258972;1.0;1.0;1.3855078220367432;0.6115615963935852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3315315246582031;1.0;1.0;1.549862265586853;0.6079580187797546;1.4775989055633545;1.0;0.3450450599193573;1.0;1.0;1.3875747919082642;0.6195195317268372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3261261284351349;1.0;1.0;1.5426219701766968;0.6102102398872375;1.4728987216949463;1.0;0.34324324131011963;1.0;1.0;1.385533332824707;0.6213213205337524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3261261284351349;1.0;1.0;1.5528638362884521;0.6048048138618469;1.4793405532836914;1.0;0.34414413571357727;1.0;1.0;1.3882936239242554;0.6190690994262695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.31621623039245605;1.0;1.0;1.549647331237793;0.602552592754364;1.4782440662384033;1.0;0.33243241906166077;1.0;1.0;1.3894355297088623;0.6186186075210571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3468468487262726;1.0;1.0;1.5467042922973633;0.6145646572113037;1.4732894897460938;1.0;0.36036035418510437;1.0;1.0;1.3825870752334595;0.6279279589653015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.34864863753318787;1.0;1.0;1.5452245473861694;0.6169670224189758;1.4722838401794434;1.0;0.3792792856693268;1.0;1.0;1.3821725845336914;0.6388888955116272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.34864863753318787;1.0;1.0;1.5431839227676392;0.6184685230255127;1.4717174768447876;1.0;0.36666667461395264;1.0;1.0;1.38319730758667;0.6306306719779968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3333333432674408;1.0;1.0;1.545301079750061;0.6127628087997437;1.4715394973754883;1.0;0.36036035418510437;1.0;1.0;1.380840539932251;0.6315315961837769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.3261261284351349;1.0;1.0;1.5488353967666626;0.6070571541786194;1.4732089042663574;1.0;0.3540540635585785;1.0;1.0;1.380760669708252;0.6274774670600891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3477477431297302;1.0;1.0;1.5399706363677979;0.6195195913314819;1.465869426727295;1.0;0.36216217279434204;1.0;1.0;1.3750613927841187;0.6306306719779968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3495495617389679;1.0;1.0;1.544942855834961;0.6205706000328064;1.469171166419983;1.0;0.37657657265663147;1.0;1.0;1.3768067359924316;0.6411411762237549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.3378378450870514;1.0;1.0;1.5496528148651123;0.6135136485099792;1.4714696407318115;1.0;0.3729729652404785;1.0;1.0;1.3768073320388794;0.6361862421035767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3315315246582031;1.0;1.0;1.5462965965270996;0.6084084510803223;1.467327356338501;1.0;0.3585585653781891;1.0;1.0;1.3719929456710815;0.6286787390708923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3378378450870514;1.0;1.0;1.5480382442474365;0.6138138771057129;1.4686737060546875;1.0;0.3684684634208679;1.0;1.0;1.3730578422546387;0.6307808756828308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3261261284351349;1.0;1.0;1.5355160236358643;0.6100600957870483;1.4558587074279785;1.0;0.3720720708370209;1.0;1.0;1.3600635528564453;0.6406906843185425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.365765780210495;1.0;1.0;1.5406386852264404;0.6318318843841553;1.4616448879241943;1.0;0.39459457993507385;1.0;1.0;1.3666261434555054;0.6518018841743469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.32252252101898193;1.0;1.0;1.5462679862976074;0.6081081628799438;1.464890718460083;1.0;0.36666667461395264;1.0;1.0;1.3676013946533203;0.6364865303039551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.32252252101898193;1.0;1.0;1.5556563138961792;0.6030029654502869;1.4728573560714722;1.0;0.3684684634208679;1.0;1.0;1.3742597103118896;0.6351351737976074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.35315313935279846;1.0;1.0;1.5294488668441772;0.6264263987541199;1.4503259658813477;1.0;0.3954955041408539;1.0;1.0;1.3555173873901367;0.6531531810760498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.35315313935279846;1.0;1.0;1.5348366498947144;0.6261261701583862;1.454546570777893;1.0;0.4009009003639221;1.0;1.0;1.3586841821670532;0.659159243106842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.34144145250320435;1.0;1.0;1.5391967296600342;0.615315318107605;1.45870041847229;1.0;0.37117117643356323;1.0;1.0;1.3627443313598633;0.6349850296974182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.3405405282974243;1.0;1.0;1.542449951171875;0.6124624609947205;1.4593092203140259;1.0;0.39909911155700684;1.0;1.0;1.3608226776123047;0.649249255657196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.3405405282974243;1.0;1.0;1.535901665687561;0.6151651740074158;1.4523735046386719;1.0;0.4054054021835327;1.0;1.0;1.353614091873169;0.6551051139831543;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.3315315246582031;1.0;1.0;1.5497907400131226;0.6099099516868591;1.4651298522949219;1.0;0.38558557629585266;1.0;1.0;1.3653534650802612;0.6471472382545471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.34594595432281494;1.0;1.0;1.5504004955291748;0.6147147417068481;1.4642689228057861;1.0;0.4162162244319916;1.0;1.0;1.3631387948989868;0.658258318901062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.32522523403167725;1.0;1.0;1.5523513555526733;0.6055555939674377;1.465869665145874;1.0;0.37387385964393616;1.0;1.0;1.3645069599151611;0.6405405402183533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.31801801919937134;1.0;1.0;1.5421963930130005;0.6037537455558777;1.4536266326904297;1.0;0.38288289308547974;1.0;1.0;1.3502943515777588;0.6451952457427979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.33243241906166077;1.0;1.0;1.553463339805603;0.6084083914756775;1.464564323425293;1.0;0.3963963985443115;1.0;1.0;1.361021637916565;0.6540541052818298;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
