epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.34414413571357727;1.0;1.0;0.7326803803443909;0.6180180311203003;0.7326683402061462;1.0;0.34414413571357727;1.0;1.0;0.7326563000679016;0.6180180311203003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31621623039245605;1.0;1.0;0.7404476404190063;0.601651668548584;0.7402747273445129;1.0;0.31621623039245605;1.0;1.0;0.7401018142700195;0.601651668548584;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3261261284351349;1.0;1.0;0.7368485927581787;0.6028529405593872;0.7364344000816345;1.0;0.3261261284351349;1.0;1.0;0.7360202074050903;0.6030030250549316;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3306306302547455;1.0;1.0;0.7342410683631897;0.612162172794342;0.7340664863586426;1.0;0.3306306302547455;1.0;1.0;0.7338918447494507;0.612162172794342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.32972973585128784;1.0;1.0;0.7369759678840637;0.6091591715812683;0.7366748452186584;1.0;0.32972973585128784;1.0;1.0;0.7363737225532532;0.6093093156814575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3081081211566925;1.0;1.0;0.7412232160568237;0.5975976586341858;0.7410491108894348;1.0;0.3081081211566925;1.0;1.0;0.7408750057220459;0.5975976586341858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3378378450870514;1.0;1.0;0.7382598519325256;0.6106606721878052;0.7380766272544861;1.0;0.3378378450870514;1.0;1.0;0.7378934025764465;0.6106606721878052;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3495495617389679;1.0;1.0;0.7338899374008179;0.6201202273368835;0.7333608269691467;1.0;0.3495495617389679;1.0;1.0;0.7328317165374756;0.620270311832428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.37567567825317383;1.0;1.0;0.7297563552856445;0.6361861824989319;0.7295898199081421;1.0;0.37567567825317383;1.0;1.0;0.7294232249259949;0.6361861824989319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.35045045614242554;1.0;1.0;0.7239694595336914;0.6216216683387756;0.7238520383834839;1.0;0.35045045614242554;1.0;1.0;0.7237346172332764;0.6216216683387756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.35945945978164673;1.0;1.0;0.7260915040969849;0.628978967666626;0.7259693145751953;1.0;0.35945945978164673;1.0;1.0;0.7258471250534058;0.628978967666626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3729729652404785;1.0;1.0;0.7268665432929993;0.6328829526901245;0.7265740633010864;1.0;0.3729729652404785;1.0;1.0;0.7262815833091736;0.6330330967903137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.34414413571357727;1.0;1.0;0.7281589508056641;0.6168168187141418;0.7279495000839233;1.0;0.34414413571357727;1.0;1.0;0.7277400493621826;0.6168168187141418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.3540540635585785;1.0;1.0;0.7246551513671875;0.6270270943641663;0.7241923809051514;1.0;0.3540540635585785;1.0;1.0;0.72372967004776;0.6270270347595215;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3558558523654938;1.0;1.0;0.7328993082046509;0.6261261701583862;0.7326405048370361;1.0;0.3567567467689514;1.0;1.0;0.7323817014694214;0.6265766024589539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3639639616012573;1.0;1.0;0.7162902355194092;0.6333333849906921;0.715908944606781;1.0;0.3639639616012573;1.0;1.0;0.7155276536941528;0.6333333849906921;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3801801800727844;1.0;1.0;0.7073771953582764;0.6450450420379639;0.7071380615234375;1.0;0.3801801800727844;1.0;1.0;0.7068988680839539;0.6450450420379639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.41801801323890686;1.0;1.0;0.6953703165054321;0.6666667461395264;0.6952881217002869;1.0;0.41801801323890686;1.0;1.0;0.6952059268951416;0.6666667461395264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.4144144058227539;1.0;1.0;0.6987118124961853;0.6647148132324219;0.6979237794876099;1.0;0.4144144058227539;1.0;1.0;0.6971356868743896;0.6651652455329895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.4072072207927704;1.0;1.0;0.7071991562843323;0.6566066145896912;0.7067725658416748;1.0;0.408108115196228;1.0;1.0;0.7063460350036621;0.6572072505950928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.4324324429035187;1.0;1.0;0.6846024990081787;0.6800300478935242;0.6844407320022583;1.0;0.4324324429035187;1.0;1.0;0.6842789649963379;0.6800300478935242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.476576566696167;1.0;1.0;0.6737499237060547;0.7021021246910095;0.6736995577812195;1.0;0.476576566696167;1.0;1.0;0.6736491918563843;0.7021021246910095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.4954954981803894;1.0;1.0;0.6629565358161926;0.7165165543556213;0.6626313924789429;1.0;0.4954954981803894;1.0;1.0;0.6623061895370483;0.7165165543556213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.5117117166519165;1.0;1.0;0.6606913208961487;0.7264264225959778;0.6606413722038269;1.0;0.5117117166519165;1.0;1.0;0.6605914235115051;0.7264264225959778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.5639639496803284;1.0;1.0;0.6318888664245605;0.7564564943313599;0.6318323612213135;1.0;0.5639639496803284;1.0;1.0;0.6317758560180664;0.7566066384315491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.6027026772499084;1.0;1.0;0.6174962520599365;0.7801801562309265;0.6172573566436768;1.0;0.6027026772499084;1.0;1.0;0.617018461227417;0.7803303003311157;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.6216216087341309;1.0;1.0;0.6073876023292542;0.792042076587677;0.6070905923843384;1.0;0.6225225329399109;1.0;1.0;0.6067936420440674;0.7926426529884338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.6666666865348816;1.0;1.0;0.5944220423698425;0.8150150179862976;0.5943961143493652;1.0;0.6666666865348816;1.0;1.0;0.5943701267242432;0.8150150179862976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.7162162065505981;1.0;1.0;0.5621098875999451;0.8480480313301086;0.5619831681251526;1.0;0.7162162065505981;1.0;1.0;0.5618564486503601;0.8481981754302979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.7504504323005676;1.0;1.0;0.5440139174461365;0.8642643094062805;0.5438756942749023;1.0;0.7522522807121277;1.0;1.0;0.5437374114990234;0.8654654622077942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1.0;0.8063063025474548;1.0;1.0;0.5141240358352661;0.8954954743385315;0.5139481425285339;1.0;0.8072072267532349;1.0;1.0;0.5137722492218018;0.8963964581489563;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1.0;0.8171170949935913;1.0;1.0;0.4967348873615265;0.903303325176239;0.4967288374900818;1.0;0.8171170949935913;1.0;1.0;0.49672284722328186;0.9034534096717834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;1.0;0.8828828930854797;1.0;1.0;0.46633630990982056;0.9391891956329346;0.4663248062133789;1.0;0.8828828930854797;1.0;1.0;0.46631333231925964;0.9391891956329346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;1.0;0.8945946097373962;1.0;1.0;0.44591620564460754;0.9450450539588928;0.44604364037513733;1.0;0.8945946097373962;1.0;1.0;0.4461710751056671;0.9450450539588928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;1.0;0.9279279112815857;1.0;1.0;0.40969157218933105;0.9614114761352539;0.4098931550979614;1.0;0.9279279112815857;1.0;1.0;0.4100947380065918;0.9614114761352539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;1.0;0.9594594836235046;1.0;1.0;0.38223734498023987;0.9791291952133179;0.3823549747467041;1.0;0.9603603482246399;1.0;1.0;0.3824726343154907;0.9797297120094299;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;1.0;0.9720720648765564;1.0;1.0;0.34832561016082764;0.9855855703353882;0.3483085334300995;1.0;0.9729729890823364;1.0;1.0;0.34829145669937134;0.9860360622406006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;1.0;0.9837837815284729;1.0;1.0;0.32056543231010437;0.9915915727615356;0.32075434923171997;1.0;0.9837837815284729;1.0;1.0;0.32094326615333557;0.9915915727615356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;1.0;0.9846847057342529;1.0;1.0;0.29653865098953247;0.9920421242713928;0.2969197630882263;1.0;0.9846847057342529;1.0;1.0;0.2973008453845978;0.9920421242713928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;1.0;0.9927927851676941;1.0;1.0;0.2617952823638916;0.9960961937904358;0.2621469497680664;1.0;0.9927927851676941;1.0;1.0;0.2624985873699188;0.9960961937904358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;1.0;0.9981982111930847;1.0;1.0;0.23689833283424377;0.99909907579422;0.23742398619651794;1.0;0.9981982111930847;1.0;1.0;0.2379496544599533;0.99909907579422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;1.0;0.9963964223861694;1.0;1.0;0.2132566124200821;0.9981982111930847;0.213669091463089;1.0;0.9963964223861694;1.0;1.0;0.2140815556049347;0.9981982111930847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;1.0;0.99909907579422;1.0;1.0;0.18608304858207703;0.9995495676994324;0.18675768375396729;1.0;0.99909907579422;1.0;1.0;0.18743231892585754;0.9995495676994324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;1.0;0.99909907579422;1.0;1.0;0.16278930008411407;0.9995495676994324;0.16341370344161987;1.0;0.99909907579422;1.0;1.0;0.16403809189796448;0.9995495676994324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;1.0;1.0;1.0;1.0;0.14382925629615784;1.0;0.14455655217170715;1.0;1.0;1.0;1.0;0.14528386294841766;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;1.0;1.0;1.0;1.0;0.12748409807682037;1.0;0.12829256057739258;1.0;1.0;1.0;1.0;0.1291010081768036;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;1.0;1.0;1.0;1.0;0.10922999680042267;1.0;0.11012612283229828;1.0;1.0;1.0;1.0;0.11102224141359329;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;1.0;1.0;1.0;1.0;0.09445518255233765;1.0;0.09547404199838638;1.0;1.0;1.0;1.0;0.09649290144443512;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
