epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3405405282974243;1.0;1.0;0.7334884405136108;0.6174174547195435;0.7308588027954102;1.0;0.3513513505458832;1.0;1.0;0.7282292246818542;0.6247747540473938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31171169877052307;1.0;1.0;0.7441218495368958;0.5989490151405334;0.7414816617965698;1.0;0.32072073221206665;1.0;1.0;0.7388414144515991;0.606606662273407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.31801801919937134;1.0;1.0;0.7441161274909973;0.6024024486541748;0.7420848608016968;1.0;0.32702702283859253;1.0;1.0;0.740053653717041;0.6090090870857239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.315315306186676;1.0;1.0;0.7441452145576477;0.6036036610603333;0.7419929504394531;1.0;0.32072073221206665;1.0;1.0;0.7398406863212585;0.6085585951805115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.32072073221206665;1.0;1.0;0.7437458038330078;0.5993994474411011;0.7407010793685913;1.0;0.33243241906166077;1.0;1.0;0.73765629529953;0.6091592311859131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.32792791724205017;1.0;1.0;0.7410436272621155;0.6079579591751099;0.7380603551864624;1.0;0.3333333432674408;1.0;1.0;0.7350770831108093;0.614414393901825;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33873873949050903;1.0;1.0;0.7364664673805237;0.6151652336120605;0.734736442565918;1.0;0.34594595432281494;1.0;1.0;0.7330063581466675;0.6201201677322388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3171171247959137;1.0;1.0;0.7460886240005493;0.5986486673355103;0.7430617809295654;1.0;0.3333333432674408;1.0;1.0;0.7400349378585815;0.6106606125831604;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.35765767097473145;1.0;1.0;0.7290458679199219;0.6277778744697571;0.7266330718994141;1.0;0.365765780210495;1.0;1.0;0.724220335483551;0.6349850296974182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3099099099636078;1.0;1.0;0.7356363534927368;0.6010510325431824;0.7324180006980896;1.0;0.3306306302547455;1.0;1.0;0.7291996479034424;0.6148648858070374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
