epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3405405282974243;1.0;1.0;0.7334884405136108;0.6174174547195435;0.7228419780731201;1.0;0.4126126170158386;1.0;1.0;0.7121955156326294;0.6629129648208618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31171169877052307;1.0;1.0;0.7441227436065674;0.5989490151405334;0.7329001426696777;1.0;0.39009007811546326;1.0;1.0;0.7216775417327881;0.6495496034622192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.31801801919937134;1.0;1.0;0.7441179752349854;0.6024024486541748;0.7330217957496643;1.0;0.3837837874889374;1.0;1.0;0.7219256162643433;0.6471472382545471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.315315306186676;1.0;1.0;0.7441483736038208;0.6036036610603333;0.7305845618247986;1.0;0.4000000059604645;1.0;1.0;0.7170207500457764;0.6581081748008728;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.32072073221206665;1.0;1.0;0.743751049041748;0.5993994474411011;0.7289230823516846;1.0;0.43423423171043396;1.0;1.0;0.7140951752662659;0.6725226044654846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.32792791724205017;1.0;1.0;0.7410522103309631;0.6079579591751099;0.7227878570556641;1.0;0.45045045018196106;1.0;1.0;0.704523503780365;0.6843844056129456;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33873873949050903;1.0;1.0;0.7364791631698608;0.6151652336120605;0.7163615226745605;1.0;0.49009010195732117;1.0;1.0;0.696243941783905;0.7079580426216125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.31801801919937134;1.0;1.0;0.7461078763008118;0.5990990996360779;0.7221479415893555;1.0;0.5063062906265259;1.0;1.0;0.6981880068778992;0.7150151133537292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.35765767097473145;1.0;1.0;0.7290725708007812;0.6277778744697571;0.7021217346191406;1.0;0.5585585832595825;1.0;1.0;0.6751708388328552;0.7477477788925171;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3099099099636078;1.0;1.0;0.7356775999069214;0.6010510325431824;0.7054548263549805;1.0;0.5387387275695801;1.0;1.0;0.6752321124076843;0.7375376224517822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
