epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3450450599193573;1.0;1.0;0.7326819896697998;0.6184684634208679;0.7309731245040894;1.0;0.35315313935279846;1.0;1.0;0.7292643189430237;0.6247748136520386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31621623039245605;1.0;1.0;0.7405204176902771;0.601651668548584;0.7378236055374146;1.0;0.3261261284351349;1.0;1.0;0.7351268529891968;0.6091591715812683;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3261261284351349;1.0;1.0;0.7370157241821289;0.6028529405593872;0.7333675026893616;1.0;0.33873873949050903;1.0;1.0;0.7297192811965942;0.612162172794342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.32972973585128784;1.0;1.0;0.734525740146637;0.6115615963935852;0.7325965762138367;1.0;0.34144145250320435;1.0;1.0;0.7306674122810364;0.6190691590309143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3288288414478302;1.0;1.0;0.737421452999115;0.6085585951805115;0.7338470220565796;1.0;0.3450450599193573;1.0;1.0;0.730272650718689;0.6201201677322388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3072071969509125;1.0;1.0;0.7418839335441589;0.5969969630241394;0.7393882274627686;1.0;0.32252252101898193;1.0;1.0;0.7368924617767334;0.6076576709747314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33423423767089844;1.0;1.0;0.7392120957374573;0.6088588833808899;0.7361592054367065;1.0;0.3468468487262726;1.0;1.0;0.7331063747406006;0.6195195913314819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3468468487262726;1.0;1.0;0.7352249026298523;0.6187688708305359;0.7317887544631958;1.0;0.365765780210495;1.0;1.0;0.7283525466918945;0.6313813924789429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3729729652404785;1.0;1.0;0.7315670251846313;0.6343844532966614;0.7299443483352661;1.0;0.3792792856693268;1.0;1.0;0.7283217310905457;0.6391892433166504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3450450599193573;1.0;1.0;0.726421594619751;0.6177177429199219;0.7242122888565063;1.0;0.35495495796203613;1.0;1.0;0.7220029830932617;0.6256757378578186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
