epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.34414413571357727;1.0;1.0;1.5511466264724731;0.6180180311203003;1.4492056369781494;1.0;0.4567567706108093;1.0;1.0;1.329264521598816;0.682582676410675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31621623039245605;1.0;1.0;1.5529751777648926;0.601651668548584;1.441342830657959;1.0;0.43153151869773865;1.0;1.0;1.3118300437927246;0.6683183312416077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3261261284351349;1.0;1.0;1.5538291931152344;0.6028529405593872;1.4353034496307373;1.0;0.4450450539588928;1.0;1.0;1.2990167140960693;0.6723724007606506;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.32972973585128784;1.0;1.0;1.5421020984649658;0.611411452293396;1.4241905212402344;1.0;0.44774773716926575;1.0;1.0;1.2886368036270142;0.6786786913871765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.32702702283859253;1.0;1.0;1.5482442378997803;0.6076577305793762;1.4266321659088135;1.0;0.4468468427658081;1.0;1.0;1.287496566772461;0.677627682685852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.30630630254745483;1.0;1.0;1.5557011365890503;0.5965465307235718;1.4363138675689697;1.0;0.4216216206550598;1.0;1.0;1.2995212078094482;0.663213312625885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33423423767089844;1.0;1.0;1.5483111143112183;0.6084083914756775;1.4263291358947754;1.0;0.4495495557785034;1.0;1.0;1.2870595455169678;0.6765766739845276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3450450599193573;1.0;1.0;1.5376837253570557;0.6175675988197327;1.4154157638549805;1.0;0.46936938166618347;1.0;1.0;1.2759771347045898;0.6911411881446838;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3702702820301056;1.0;1.0;1.5383257865905762;0.6325826644897461;1.4170206785202026;1.0;0.48558560013771057;1.0;1.0;1.278661847114563;0.6989490389823914;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3405405282974243;1.0;1.0;1.549055814743042;0.6148648858070374;1.4253261089324951;1.0;0.45945945382118225;1.0;1.0;1.2846590280532837;0.6846847534179688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.3450450599193573;1.0;1.0;1.540297508239746;0.6199699640274048;1.4149965047836304;1.0;0.47117117047309875;1.0;1.0;1.272873878479004;0.6927928328514099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3567567467689514;1.0;1.0;1.5407809019088745;0.6220721006393433;1.417632818222046;1.0;0.4630630612373352;1.0;1.0;1.2777783870697021;0.6836336851119995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.32702702283859253;1.0;1.0;1.5505021810531616;0.6051051020622253;1.426179051399231;1.0;0.4450450539588928;1.0;1.0;1.2852643728256226;0.6735736727714539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.33243241906166077;1.0;1.0;1.5446109771728516;0.6115615963935852;1.4183335304260254;1.0;0.45495495200157166;1.0;1.0;1.2755792140960693;0.6831832528114319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3306306302547455;1.0;1.0;1.5508222579956055;0.606456458568573;1.4242972135543823;1.0;0.44594594836235046;1.0;1.0;1.2814092636108398;0.6749249696731567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3288288414478302;1.0;1.0;1.5485599040985107;0.6108108758926392;1.4222352504730225;1.0;0.44144144654273987;1.0;1.0;1.2796616554260254;0.6764265298843384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3288288414478302;1.0;1.0;1.5332354307174683;0.6126126646995544;1.4070994853973389;1.0;0.454054057598114;1.0;1.0;1.2648279666900635;0.6860361099243164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.36936935782432556;1.0;1.0;1.5411574840545654;0.6327327489852905;1.4162765741348267;1.0;0.4792792797088623;1.0;1.0;1.2753734588623047;0.6965466141700745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.32702702283859253;1.0;1.0;1.5434521436691284;0.6108108162879944;1.416949987411499;1.0;0.4513513445854187;1.0;1.0;1.274538516998291;0.6839340329170227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.3171171247959137;1.0;1.0;1.556990146636963;0.5983483791351318;1.4294382333755493;1.0;0.4351351261138916;1.0;1.0;1.286089539527893;0.6683183312416077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.3405405282974243;1.0;1.0;1.5385055541992188;0.6174174547195435;1.415001630783081;1.0;0.4567567706108093;1.0;1.0;1.2758129835128784;0.6849850416183472;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.33873873949050903;1.0;1.0;1.5398051738739014;0.6151652336120605;1.4158861637115479;1.0;0.4495495557785034;1.0;1.0;1.276394248008728;0.6792793273925781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.35045045614242554;1.0;1.0;1.5393624305725098;0.621171236038208;1.415315866470337;1.0;0.45225223898887634;1.0;1.0;1.2758078575134277;0.6801802515983582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.3072071969509125;1.0;1.0;1.5460097789764404;0.5942943096160889;1.4202120304107666;1.0;0.42702701687812805;1.0;1.0;1.2790638208389282;0.6635135412216187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.34414413571357727;1.0;1.0;1.5377134084701538;0.6172673106193542;1.41243577003479;1.0;0.4603603482246399;1.0;1.0;1.271918535232544;0.685585618019104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.33693695068359375;1.0;1.0;1.5490666627883911;0.6144144535064697;1.4231693744659424;1.0;0.454054057598114;1.0;1.0;1.2821426391601562;0.682582676410675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.35495495796203613;1.0;1.0;1.542300820350647;0.6217718720436096;1.4158401489257812;1.0;0.48288288712501526;1.0;1.0;1.274359941482544;0.6960962414741516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.30180180072784424;1.0;1.0;1.556052803993225;0.5930930972099304;1.429768681526184;1.0;0.41081079840660095;1.0;1.0;1.288574457168579;0.6560060381889343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.32792791724205017;1.0;1.0;1.5397579669952393;0.6097598075866699;1.4117649793624878;1.0;0.44774773716926575;1.0;1.0;1.2689709663391113;0.6791291832923889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.32972973585128784;1.0;1.0;1.5509966611862183;0.6063063144683838;1.4231096506118774;1.0;0.454054057598114;1.0;1.0;1.2805300951004028;0.6803303360939026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1.0;0.3405405282974243;1.0;1.0;1.5489367246627808;0.6129129528999329;1.4200584888458252;1.0;0.4630630612373352;1.0;1.0;1.2765957117080688;0.6866366267204285;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1.0;0.3351351320743561;1.0;1.0;1.555099606513977;0.6126126050949097;1.4298120737075806;1.0;0.44324323534965515;1.0;1.0;1.290047526359558;0.6749249696731567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;1.0;0.3171171247959137;1.0;1.0;1.540069341659546;0.6058558821678162;1.4126248359680176;1.0;0.44324323534965515;1.0;1.0;1.2708103656768799;0.6792793273925781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;1.0;0.3288288414478302;1.0;1.0;1.5476843118667603;0.6091591715812683;1.418264627456665;1.0;0.4585585594177246;1.0;1.0;1.2745813131332397;0.6869369745254517;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;1.0;0.33243241906166077;1.0;1.0;1.5564998388290405;0.6102101802825928;1.430037021636963;1.0;0.4441441297531128;1.0;1.0;1.2894164323806763;0.6761261820793152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;1.0;0.3261261284351349;1.0;1.0;1.5490745306015015;0.6085585355758667;1.4224727153778076;1.0;0.44774773716926575;1.0;1.0;1.2818185091018677;0.679879903793335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;1.0;0.35045045614242554;1.0;1.0;1.5420104265213013;0.6216216087341309;1.413717269897461;1.0;0.4657657742500305;1.0;1.0;1.2714765071868896;0.6891892552375793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;1.0;0.3468468487262726;1.0;1.0;1.5386184453964233;0.6174173951148987;1.410862684249878;1.0;0.4702702760696411;1.0;1.0;1.269263744354248;0.6893393397331238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;1.0;0.318918913602829;1.0;1.0;1.5483342409133911;0.6009008884429932;1.4221839904785156;1.0;0.4351351261138916;1.0;1.0;1.2822943925857544;0.6698198914527893;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;1.0;0.3585585653781891;1.0;1.0;1.5456024408340454;0.6235736012458801;1.4195549488067627;1.0;0.47387388348579407;1.0;1.0;1.2798709869384766;0.6911411881446838;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;1.0;0.32972973585128784;1.0;1.0;1.5525867938995361;0.6111111640930176;1.4257259368896484;1.0;0.4405405521392822;1.0;1.0;1.285331130027771;0.6746246814727783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;1.0;0.32792791724205017;1.0;1.0;1.5539672374725342;0.608408510684967;1.4259459972381592;1.0;0.44324323534965515;1.0;1.0;1.284493088722229;0.6752252578735352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;1.0;0.3333333432674408;1.0;1.0;1.5376378297805786;0.6175675392150879;1.4110181331634521;1.0;0.44594594836235046;1.0;1.0;1.2710680961608887;0.6821321249008179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;1.0;0.34414413571357727;1.0;1.0;1.551741600036621;0.6157658100128174;1.4230859279632568;1.0;0.4648648500442505;1.0;1.0;1.2812010049819946;0.6861863136291504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;1.0;0.3405405282974243;1.0;1.0;1.5469231605529785;0.6175675392150879;1.418285608291626;1.0;0.45945945382118225;1.0;1.0;1.2765190601348877;0.6861862540245056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;1.0;0.35045045614242554;1.0;1.0;1.5435826778411865;0.621171236038208;1.4148447513580322;1.0;0.47117117047309875;1.0;1.0;1.2730776071548462;0.6926426887512207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;1.0;0.33873873949050903;1.0;1.0;1.5494942665100098;0.6120120286941528;1.422727108001709;1.0;0.4558558464050293;1.0;1.0;1.2830296754837036;0.6813814640045166;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;1.0;0.3243243098258972;1.0;1.0;1.5394052267074585;0.6082582473754883;1.413314938545227;1.0;0.4369369447231293;1.0;1.0;1.274393081665039;0.6746247410774231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;1.0;0.3288288414478302;1.0;1.0;1.5433969497680664;0.6069069504737854;1.4167430400848389;1.0;0.4468468427658081;1.0;1.0;1.2773557901382446;0.6749249696731567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;1.0;0.3495495617389679;1.0;1.0;1.5507885217666626;0.6192192435264587;1.422039270401001;1.0;0.46216216683387756;1.0;1.0;1.280653953552246;0.685585618019104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;1.0;0.3243243098258972;1.0;1.0;1.5538259744644165;0.6031532287597656;1.4268500804901123;1.0;0.44144144654273987;1.0;1.0;1.2873352766036987;0.6699700355529785;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;1.0;0.32792791724205017;1.0;1.0;1.5475128889083862;0.6063063144683838;1.4186724424362183;1.0;0.4495495557785034;1.0;1.0;1.2773892879486084;0.6783784627914429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
