epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.32900431752204895;1.0;1.0;1.5445371866226196;0.6096681356430054;1.4957630634307861;1.0;0.3073593080043793;1.0;1.0;1.4469889402389526;0.5959596037864685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3181818127632141;1.0;1.0;1.5572131872177124;0.6053391695022583;1.4965589046478271;1.0;0.3333333432674408;1.0;1.0;1.4359045028686523;0.6176045536994934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;1.5556217432022095;0.6085858345031738;1.499106764793396;1.0;0.3311688303947449;1.0;1.0;1.4425917863845825;0.6060606241226196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30519479513168335;1.0;1.0;1.5463881492614746;0.5984848737716675;1.4955213069915771;1.0;0.3484848439693451;1.0;1.0;1.4446544647216797;0.6118326187133789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3398268520832062;1.0;1.0;1.545194387435913;0.6168830990791321;1.4967730045318604;1.0;0.33766233921051025;1.0;1.0;1.448351502418518;0.6118326783180237;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3333333432674408;1.0;1.0;1.5510327816009521;0.612554132938385;1.4953796863555908;1.0;0.35281383991241455;1.0;1.0;1.4397265911102295;0.6215728521347046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3160173296928406;1.0;1.0;1.5597153902053833;0.6013709306716919;1.5008275508880615;1.0;0.33549782633781433;1.0;1.0;1.4419398307800293;0.610028862953186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3636363744735718;1.0;1.0;1.5453145503997803;0.6215729117393494;1.490679383277893;1.0;0.3419913351535797;1.0;1.0;1.4360442161560059;0.6147186160087585;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.350649356842041;1.0;1.0;1.536507487297058;0.6240981221199036;1.4867674112319946;1.0;0.3419913351535797;1.0;1.0;1.4370273351669312;0.6147186756134033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3008657991886139;1.0;1.0;1.5551652908325195;0.594877302646637;1.5000226497650146;1.0;0.33549782633781433;1.0;1.0;1.4448800086975098;0.6132756471633911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.3419913351535797;1.0;1.0;1.5402746200561523;0.6147186756134033;1.4893099069595337;1.0;0.34632036089897156;1.0;1.0;1.438345193862915;0.6186869144439697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3095238208770752;1.0;1.0;1.5482609272003174;0.5963202714920044;1.488111138343811;1.0;0.3484848439693451;1.0;1.0;1.4279613494873047;0.6183260679244995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3268398344516754;1.0;1.0;1.543433666229248;0.6089466214179993;1.488329291343689;1.0;0.31168830394744873;1.0;1.0;1.4332249164581299;0.6013708710670471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.32034632563591003;1.0;1.0;1.5515342950820923;0.6064213514328003;1.4955966472625732;1.0;0.3398268520832062;1.0;1.0;1.4396591186523438;0.6172438263893127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3268398344516754;1.0;1.0;1.542406439781189;0.6020923852920532;1.491845726966858;1.0;0.2943722903728485;1.0;1.0;1.4412850141525269;0.5862193703651428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.31385281682014465;1.0;1.0;1.5539573431015015;0.6002886295318604;1.5042015314102173;1.0;0.30519479513168335;1.0;1.0;1.454445719718933;0.5941558480262756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
