epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.25108224153518677;1.0;1.0;0.7419858574867249;0.5667388439178467;0.7556072473526001;1.0;0.24242424964904785;1.0;1.0;0.7512285709381104;0.5588023066520691;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.35281383991241455;1.0;1.0;0.7280861139297485;0.62193363904953;0.7406228184700012;1.0;0.3571428656578064;1.0;1.0;0.735279381275177;0.6233766078948975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.29653680324554443;1.0;1.0;0.7484619617462158;0.5815295577049255;0.7589408159255981;1.0;0.2922077775001526;1.0;1.0;0.7516587972640991;0.5808081030845642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.36796537041664124;1.0;1.0;0.7220181822776794;0.633838415145874;0.736200213432312;1.0;0.35930734872817993;1.0;1.0;0.7327402234077454;0.6284271478652954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.32900431752204895;1.0;1.0;0.7279187440872192;0.6100288033485413;0.7414347529411316;1.0;0.3246753215789795;1.0;1.0;0.737427294254303;0.6085858345031738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.29653680324554443;1.0;1.0;0.7483203411102295;0.5901877284049988;0.7600589990615845;1.0;0.28787878155708313;1.0;1.0;0.7543922662734985;0.5811688303947449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3398268520832062;1.0;1.0;0.7419641017913818;0.6089465618133545;0.750879168510437;1.0;0.3419913351535797;1.0;1.0;0.7425064444541931;0.6143578290939331;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.28138527274131775;1.0;1.0;0.746498167514801;0.5847763419151306;0.7591580748558044;1.0;0.28354978561401367;1.0;1.0;0.754647433757782;0.5790043473243713;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.31385281682014465;1.0;1.0;0.726270318031311;0.6075035929679871;0.7397408485412598;1.0;0.32251080870628357;1.0;1.0;0.7361577749252319;0.6107503771781921;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.37662336230278015;1.0;1.0;0.7114434242248535;0.6381673812866211;0.7255540490150452;1.0;0.3744588792324066;1.0;1.0;0.7227272391319275;0.6360028982162476;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.3636363744735718;1.0;1.0;0.7371990084648132;0.6266233921051025;0.7488119006156921;1.0;0.3571428656578064;1.0;1.0;0.7424249053001404;0.6212121844291687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.2922077775001526;1.0;1.0;0.7462990880012512;0.5822511315345764;0.7584115266799927;1.0;0.2922077775001526;1.0;1.0;0.7526438236236572;0.5808081030845642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3961038887500763;1.0;1.0;0.7271533012390137;0.6475469470024109;0.7412115335464478;1.0;0.39393940567970276;1.0;1.0;0.7375087738037109;0.6464646458625793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3484848439693451;1.0;1.0;0.7320855259895325;0.6186869144439697;0.7451866865158081;1.0;0.34632036089897156;1.0;1.0;0.7406458258628845;0.6176046133041382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.31168830394744873;1.0;1.0;0.7357960343360901;0.5955988168716431;0.7491445541381836;1.0;0.31168830394744873;1.0;1.0;0.7449696660041809;0.5952380895614624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3268398344516754;1.0;1.0;0.7379952669143677;0.6089465618133545;0.7496562004089355;1.0;0.3268398344516754;1.0;1.0;0.7439118027687073;0.6114717721939087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3787878751754761;1.0;1.0;0.7307786345481873;0.6331169009208679;0.742333173751831;1.0;0.380952388048172;1.0;1.0;0.7365999817848206;0.6367243528366089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3484848439693451;1.0;1.0;0.7402092218399048;0.6183261871337891;0.7522822022438049;1.0;0.34632036089897156;1.0;1.0;0.7471846342086792;0.6197691559791565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3160173296928406;1.0;1.0;0.7293668389320374;0.6013708710670471;0.7414352893829346;1.0;0.29870128631591797;1.0;1.0;0.7364498376846313;0.5909090638160706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.31168830394744873;1.0;1.0;0.75175541639328;0.5988456010818481;0.7633718252182007;1.0;0.3030303120613098;1.0;1.0;0.7580507397651672;0.5923520922660828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
