epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.32900431752204895;1.0;1.0;0.7257922887802124;0.6096681356430054;0.7254633903503418;1.0;0.32900431752204895;1.0;1.0;0.7251344323158264;0.6096681356430054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.32034632563591003;1.0;1.0;0.7394666075706482;0.6064214110374451;0.7393370866775513;1.0;0.32034632563591003;1.0;1.0;0.7392075657844543;0.6064214110374451;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;0.7312542796134949;0.6085858345031738;0.7310600280761719;1.0;0.3333333432674408;1.0;1.0;0.7308657169342041;0.6085858345031738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30519479513168335;1.0;1.0;0.7440385222434998;0.5984848737716675;0.7436206340789795;1.0;0.30519479513168335;1.0;1.0;0.7432027459144592;0.5981241464614868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3398268520832062;1.0;1.0;0.7333537340164185;0.6172438859939575;0.7328184843063354;1.0;0.3398268520832062;1.0;1.0;0.7322832345962524;0.6172438859939575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3398268520832062;1.0;1.0;0.7354118824005127;0.616161584854126;0.7343534231185913;1.0;0.3398268520832062;1.0;1.0;0.7332949042320251;0.616161584854126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3268398344516754;1.0;1.0;0.729832649230957;0.6071428656578064;0.7295933961868286;1.0;0.3268398344516754;1.0;1.0;0.7293541431427002;0.6071428656578064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3722943663597107;1.0;1.0;0.7312978506088257;0.6269841194152832;0.7310007214546204;1.0;0.3722943663597107;1.0;1.0;0.7307035326957703;0.6269841194152832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.35930734872817993;1.0;1.0;0.7254588603973389;0.6291486024856567;0.7249424457550049;1.0;0.35930734872817993;1.0;1.0;0.7244260907173157;0.6295093894004822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.32034632563591003;1.0;1.0;0.7220166921615601;0.6071428656578064;0.7203646302223206;1.0;0.32034632563591003;1.0;1.0;0.718712568283081;0.6071428656578064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.3658008575439453;1.0;1.0;0.7191064953804016;0.630591630935669;0.7182498574256897;1.0;0.3658008575439453;1.0;1.0;0.7173931002616882;0.630591630935669;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.33766233921051025;1.0;1.0;0.7244487404823303;0.6186869144439697;0.7237281799316406;1.0;0.33766233921051025;1.0;1.0;0.7230075597763062;0.6186869144439697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
