epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.32900431752204895;1.0;1.0;0.725788414478302;0.6096681356430054;0.7040494084358215;1.0;0.4588744640350342;1.0;1.0;0.6823104023933411;0.6962481737136841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.32034632563591003;1.0;1.0;0.7396157383918762;0.6064214110374451;0.6970882415771484;1.0;0.6601731777191162;1.0;1.0;0.6545606851577759;0.8189033269882202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;0.7316008806228638;0.6085858345031738;0.6699016094207764;1.0;0.8138527870178223;1.0;1.0;0.6082023978233337;0.8997114300727844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30519479513168335;1.0;1.0;0.7446720004081726;0.5984848737716675;0.6678014993667603;1.0;0.887445867061615;1.0;1.0;0.5909309387207031;0.9390332102775574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3398268520832062;1.0;1.0;0.7343946099281311;0.6168830990791321;0.64424729347229;1.0;0.9285714030265808;1.0;1.0;0.554099977016449;0.9595959186553955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3333333432674408;1.0;1.0;0.7370526790618896;0.612554132938385;0.6470134258270264;1.0;0.9242424368858337;1.0;1.0;0.5569741129875183;0.9588744640350342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3160173296928406;1.0;1.0;0.7322715520858765;0.6017315983772278;0.6403989791870117;1.0;0.9242424368858337;1.0;1.0;0.5485263466835022;0.9577922224998474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.36796537041664124;1.0;1.0;0.7348277568817139;0.6237373948097229;0.646449089050293;1.0;0.9437229633331299;1.0;1.0;0.5580704808235168;0.9671716690063477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.350649356842041;1.0;1.0;0.7304076552391052;0.6244587898254395;0.6441423296928406;1.0;0.9220778942108154;1.0;1.0;0.5578770041465759;0.9563491344451904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3073593080043793;1.0;1.0;0.7288137078285217;0.5995671153068542;0.6367857456207275;1.0;0.9329004287719727;1.0;1.0;0.5447578430175781;0.9617604613304138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
