epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.32900431752204895;1.0;1.0;0.725788414478302;0.6096681356430054;0.725459635257721;1.0;0.32900431752204895;1.0;1.0;0.7251308560371399;0.6096681356430054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.32034632563591003;1.0;1.0;0.7396125793457031;0.6064214110374451;0.7394832372665405;1.0;0.32034632563591003;1.0;1.0;0.7393538951873779;0.6064214110374451;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;0.7315928936004639;0.6085858345031738;0.7313990592956543;1.0;0.3333333432674408;1.0;1.0;0.7312052845954895;0.6085858345031738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30519479513168335;1.0;1.0;0.7446553707122803;0.5984848737716675;0.7442359924316406;1.0;0.30519479513168335;1.0;1.0;0.7438165545463562;0.5981241464614868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3398268520832062;1.0;1.0;0.7343629598617554;0.6168830990791321;0.7338266372680664;1.0;0.3398268520832062;1.0;1.0;0.7332903742790222;0.6168830990791321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3333333432674408;1.0;1.0;0.736997663974762;0.612554132938385;0.735937774181366;1.0;0.3333333432674408;1.0;1.0;0.7348780035972595;0.612554132938385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3160173296928406;1.0;1.0;0.7321812510490417;0.6017315983772278;0.731939971446991;1.0;0.3160173296928406;1.0;1.0;0.731698751449585;0.6017315983772278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3658008575439453;1.0;1.0;0.7346909046173096;0.6226551532745361;0.7343913912773132;1.0;0.3658008575439453;1.0;1.0;0.7340918779373169;0.6226551532745361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.350649356842041;1.0;1.0;0.7302142977714539;0.6244587898254395;0.7296895980834961;1.0;0.350649356842041;1.0;1.0;0.7291649580001831;0.6248195767402649;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3073593080043793;1.0;1.0;0.7285288572311401;0.5999278426170349;0.7268509268760681;1.0;0.3073593080043793;1.0;1.0;0.7251728177070618;0.5999278426170349;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.34632036089897156;1.0;1.0;0.7278831601142883;0.6176046133041382;0.7270139455795288;1.0;0.34632036089897156;1.0;1.0;0.7261446714401245;0.6176046133041382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
