epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.34180790185928345;1.0;1.0;0.733188271522522;0.6158192157745361;0.7538093328475952;1.0;0.33898305892944336;1.0;1.0;0.7384304404258728;0.6150344610214233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.35499057173728943;1.0;1.0;0.7309560775756836;0.6250784993171692;0.7511609792709351;1.0;0.3502824902534485;1.0;1.0;0.7356054186820984;0.6214689016342163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3512240946292877;1.0;1.0;0.7350276708602905;0.6208412051200867;0.7551752328872681;1.0;0.34839925169944763;1.0;1.0;0.7398009300231934;0.6172316670417786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34180790185928345;1.0;1.0;0.7311809659004211;0.6133082509040833;0.7494945526123047;1.0;0.34557437896728516;1.0;1.0;0.7325240969657898;0.6156622767448425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3239171504974365;1.0;1.0;0.7381362318992615;0.6057752370834351;0.7588757872581482;1.0;0.3201506733894348;1.0;1.0;0.744568407535553;0.602165699005127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3229755163192749;1.0;1.0;0.7473825812339783;0.6012240648269653;0.7656722068786621;1.0;0.32768362760543823;1.0;1.0;0.7491509914398193;0.6060891151428223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33898305892944336;1.0;1.0;0.7333393096923828;0.6131513118743896;0.7529137134552002;1.0;0.34180790185928345;1.0;1.0;0.737912654876709;0.6166038513183594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3578154444694519;1.0;1.0;0.7238436341285706;0.6288449168205261;0.7434902191162109;1.0;0.35499057173728943;1.0;1.0;0.7287958264350891;0.626804769039154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.347457617521286;1.0;1.0;0.7310751080513;0.6214689612388611;0.750444769859314;1.0;0.347457617521286;1.0;1.0;0.7357068657875061;0.6216259002685547;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3644067943096161;1.0;1.0;0.7239441871643066;0.6299435496330261;0.7439280152320862;1.0;0.3681732714176178;1.0;1.0;0.7300369739532471;0.632454514503479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.33521658182144165;1.0;1.0;0.7386212944984436;0.6140929460525513;0.7567188739776611;1.0;0.33427494764328003;1.0;1.0;0.7411732077598572;0.61252361536026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3709981143474579;1.0;1.0;0.7327987551689148;0.6368486881256104;0.7516480684280396;1.0;0.36911487579345703;1.0;1.0;0.7370848655700684;0.6362209916114807;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3578154444694519;1.0;1.0;0.7215358018875122;0.625235378742218;0.740763783454895;1.0;0.3568738102912903;1.0;1.0;0.7268090844154358;0.6235091090202332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.31732580065727234;1.0;1.0;0.7420673370361328;0.6009102463722229;0.7598140239715576;1.0;0.32109227776527405;1.0;1.0;0.7446070313453674;0.6038920283317566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3239171504974365;1.0;1.0;0.7350594997406006;0.6070307493209839;0.7533161640167236;1.0;0.3267419934272766;1.0;1.0;0.738847017288208;0.6093848347663879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.35969868302345276;1.0;1.0;0.7249314785003662;0.6288449764251709;0.7435756921768188;1.0;0.3653483986854553;1.0;1.0;0.7297210097312927;0.6313559412956238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3436911404132843;1.0;1.0;0.735713541507721;0.6167608499526978;0.7525542974472046;1.0;0.347457617521286;1.0;1.0;0.7371220588684082;0.6192718148231506;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.35593220591545105;1.0;1.0;0.7177909016609192;0.6274325251579285;0.7364327907562256;1.0;0.3578154444694519;1.0;1.0;0.7230266332626343;0.6288449764251709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.38700565695762634;1.0;1.0;0.7138060927391052;0.6494036316871643;0.7331339120864868;1.0;0.3860640227794647;1.0;1.0;0.7206375002861023;0.6490898132324219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.360640287399292;1.0;1.0;0.7231420874595642;0.6293157339096069;0.7416653633117676;1.0;0.360640287399292;1.0;1.0;0.7285874485969543;0.6296296715736389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
