epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.34180790185928345;1.0;1.0;0.733188271522522;0.6158192157745361;0.7335639595985413;1.0;0.34180790185928345;1.0;1.0;0.7339396476745605;0.6158192157745361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.35499057173728943;1.0;1.0;0.7309551239013672;0.6250784993171692;0.7310981750488281;1.0;0.35499057173728943;1.0;1.0;0.7312412261962891;0.624764621257782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3512240946292877;1.0;1.0;0.7350252866744995;0.6208412051200867;0.7349905967712402;1.0;0.3502824902534485;1.0;1.0;0.7349558472633362;0.6205273270606995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34180790185928345;1.0;1.0;0.7311764359474182;0.6133082509040833;0.731087863445282;1.0;0.34180790185928345;1.0;1.0;0.7309992909431458;0.6131513118743896;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3239171504974365;1.0;1.0;0.7381291389465332;0.6057752370834351;0.7381619215011597;1.0;0.3239171504974365;1.0;1.0;0.7381947636604309;0.6059321761131287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3229755163192749;1.0;1.0;0.7473704814910889;0.6012240648269653;0.7469875812530518;1.0;0.3229755163192749;1.0;1.0;0.7466047406196594;0.6013810634613037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33898305892944336;1.0;1.0;0.7333211898803711;0.6131513118743896;0.733457624912262;1.0;0.33898305892944336;1.0;1.0;0.7335940599441528;0.6133081912994385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3578154444694519;1.0;1.0;0.7238154411315918;0.6288449168205261;0.7238781452178955;1.0;0.3578154444694519;1.0;1.0;0.723940908908844;0.6288449168205261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.347457617521286;1.0;1.0;0.7310339212417603;0.6214689612388611;0.7311882972717285;1.0;0.347457617521286;1.0;1.0;0.7313426733016968;0.6214689612388611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3644067943096161;1.0;1.0;0.7238900661468506;0.6299435496330261;0.7240707278251648;1.0;0.3644067943096161;1.0;1.0;0.724251389503479;0.6297866106033325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.33521658182144165;1.0;1.0;0.738540530204773;0.6140929460525513;0.7382215261459351;1.0;0.33521658182144165;1.0;1.0;0.7379024624824524;0.6142498850822449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3709981143474579;1.0;1.0;0.732692301273346;0.6368486881256104;0.7325350046157837;1.0;0.3709981143474579;1.0;1.0;0.7323777079582214;0.637005627155304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3578154444694519;1.0;1.0;0.7213965058326721;0.625235378742218;0.7215149402618408;1.0;0.3578154444694519;1.0;1.0;0.7216334342956543;0.625235378742218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.31826743483543396;1.0;1.0;0.7418851256370544;0.6013810634613037;0.7416952252388;1.0;0.31826743483543396;1.0;1.0;0.7415053248405457;0.6015379428863525;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3239171504974365;1.0;1.0;0.7348256707191467;0.6070307493209839;0.7345709800720215;1.0;0.3239171504974365;1.0;1.0;0.7343162298202515;0.6070307493209839;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
