epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3239171504974365;1.0;1.0;0.7330393195152283;0.6060891151428223;0.7323744893074036;1.0;0.32768362760543823;1.0;1.0;0.7317096590995789;0.6087570190429688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.31826743483543396;1.0;1.0;0.7373344302177429;0.603735089302063;0.7361596822738647;1.0;0.32109227776527405;1.0;1.0;0.7349848747253418;0.6065599918365479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3192090392112732;1.0;1.0;0.735853374004364;0.6046766638755798;0.7344331741333008;1.0;0.3229755163192749;1.0;1.0;0.7330130338668823;0.6082862019538879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3446327745914459;1.0;1.0;0.7339236736297607;0.6202134490013123;0.7328385710716248;1.0;0.34934085607528687;1.0;1.0;0.7317534685134888;0.6238229870796204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.35499057173728943;1.0;1.0;0.7308094501495361;0.6242938041687012;0.7294003963470459;1.0;0.360640287399292;1.0;1.0;0.7279914021492004;0.6285310983657837;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.34557437896728516;1.0;1.0;0.736605167388916;0.6195857524871826;0.7355527877807617;1.0;0.34557437896728516;1.0;1.0;0.7345004677772522;0.6205273866653442;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.35593220591545105;1.0;1.0;0.7282907366752625;0.6266477704048157;0.7270631790161133;1.0;0.35969868302345276;1.0;1.0;0.7258356809616089;0.6297865509986877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3201506733894348;1.0;1.0;0.7401062846183777;0.6037350296974182;0.7389260530471802;1.0;0.32485875487327576;1.0;1.0;0.7377457618713379;0.6073445677757263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3323917090892792;1.0;1.0;0.7357915043830872;0.6123665571212769;0.7343049645423889;1.0;0.33804142475128174;1.0;1.0;0.7328184247016907;0.6162899732589722;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3295668661594391;1.0;1.0;0.7330188155174255;0.6103264689445496;0.7316354513168335;1.0;0.33521658182144165;1.0;1.0;0.7302521467208862;0.6147207021713257;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.30696797370910645;1.0;1.0;0.7429730296134949;0.596829891204834;0.7417240142822266;1.0;0.312617689371109;1.0;1.0;0.7404749393463135;0.6007533073425293;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.3446327745914459;1.0;1.0;0.7307465672492981;0.617545485496521;0.729384183883667;1.0;0.34934085607528687;1.0;1.0;0.7280217409133911;0.6217828392982483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3408662974834442;1.0;1.0;0.729642927646637;0.6180163025856018;0.7287789583206177;1.0;0.34274953603744507;1.0;1.0;0.7279149889945984;0.6194287538528442;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.34180790185928345;1.0;1.0;0.7339999675750732;0.6175455451011658;0.7331382036209106;1.0;0.34274953603744507;1.0;1.0;0.732276439666748;0.6184871792793274;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.347457617521286;1.0;1.0;0.7353131771087646;0.6200564503669739;0.7344484925270081;1.0;0.34934085607528687;1.0;1.0;0.7335838079452515;0.6224104762077332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.33521658182144165;1.0;1.0;0.7247973680496216;0.6150345206260681;0.7237613201141357;1.0;0.33898305892944336;1.0;1.0;0.7227252125740051;0.6178593635559082;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.3681732714176178;1.0;1.0;0.7282602787017822;0.6286880373954773;0.7267106771469116;1.0;0.37758946418762207;1.0;1.0;0.725161075592041;0.6349655389785767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.33898305892944336;1.0;1.0;0.7309068441390991;0.6134651303291321;0.7295745611190796;1.0;0.34274953603744507;1.0;1.0;0.7282423377037048;0.6166038513183594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.33804142475128174;1.0;1.0;0.7283677458763123;0.6177024245262146;0.7267736196517944;1.0;0.3436911404132843;1.0;1.0;0.7251794338226318;0.6219397187232971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.3653483986854553;1.0;1.0;0.722919762134552;0.6294726729393005;0.7220393419265747;1.0;0.3681732714176178;1.0;1.0;0.7211588621139526;0.631983757019043;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.360640287399292;1.0;1.0;0.7289791107177734;0.6286880373954773;0.7277399301528931;1.0;0.3653483986854553;1.0;1.0;0.7265006899833679;0.632140576839447;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.34839925169944763;1.0;1.0;0.7315183877944946;0.6219397187232971;0.7298516035079956;1.0;0.3531073331832886;1.0;1.0;0.7281848192214966;0.6249215602874756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.36252352595329285;1.0;1.0;0.72791588306427;0.6302573680877686;0.7267017364501953;1.0;0.37005650997161865;1.0;1.0;0.7254875898361206;0.6355932354927063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
