epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.31492841243743896;1.0;1.0;0.7412405014038086;0.5993523597717285;2.9414446353912354;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.5988411903381348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.34049078822135925;1.0;1.0;0.7372470498085022;0.6162235736846924;2.9394478797912598;1.0;0.32822084426879883;1.0;1.0;5.141648769378662;0.5967961549758911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.367075651884079;1.0;1.0;0.7244980335235596;0.6313905715942383;2.9330735206604004;1.0;0.3271983563899994;1.0;1.0;5.141648769378662;0.6027607321739197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3190183937549591;1.0;1.0;0.7421801090240479;0.6003749370574951;2.9419145584106445;1.0;0.33128833770751953;1.0;1.0;5.141648769378662;0.622358500957489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3445807695388794;1.0;1.0;0.7350414991378784;0.6158827543258667;2.938345193862915;1.0;0.3588957190513611;1.0;1.0;5.141648769378662;0.6257668733596802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.36094069480895996;1.0;1.0;0.7294448614120483;0.6262781023979187;2.935546875;1.0;0.35480573773384094;1.0;1.0;5.141648769378662;0.6184389591217041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.36094069480895996;1.0;1.0;0.729285717010498;0.6252556443214417;2.93546724319458;1.0;0.31492841243743896;1.0;1.0;5.141648769378662;0.6013974547386169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.34049078822135925;1.0;1.0;0.7347985506057739;0.6150305867195129;2.9382236003875732;1.0;0.32106339931488037;1.0;1.0;5.141648769378662;0.6198023557662964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.33742332458496094;1.0;1.0;0.7401053309440613;0.6121335625648499;2.9408769607543945;1.0;0.36400818824768066;1.0;1.0;5.141648769378662;0.6235514879226685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.34049078822135925;1.0;1.0;0.7323428392410278;0.6143490076065063;2.9369957447052;1.0;0.34049078822135925;1.0;1.0;5.141648769378662;0.5986707210540771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.34867075085639954;1.0;1.0;0.7349148392677307;0.6189503073692322;2.938281774520874;1.0;0.3159509301185608;1.0;1.0;5.141648769378662;0.6085548400878906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.33435583114624023;1.0;1.0;0.7385384440422058;0.6114519238471985;2.940093517303467;1.0;0.32924336194992065;1.0;1.0;5.141648769378662;0.6049761772155762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.36400818824768066;1.0;1.0;0.7237276434898376;0.6334356069564819;2.9326882362365723;1.0;0.32924336194992065;1.0;1.0;5.141648769378662;0.6114519238471985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.36094069480895996;1.0;1.0;0.7266149520874023;0.6269598007202148;2.9341318607330322;1.0;0.32617586851119995;1.0;1.0;5.141648769378662;0.6059986352920532;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.3241308927536011;1.0;1.0;0.7419020533561707;0.6054874062538147;2.941775321960449;1.0;0.31492841243743896;1.0;1.0;5.141648769378662;0.6066802740097046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.30572596192359924;1.0;1.0;0.7439215183258057;0.5967962145805359;2.9427852630615234;1.0;0.3425357937812805;1.0;1.0;5.141648769378662;0.6022495031356812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.34560325741767883;1.0;1.0;0.7392400503158569;0.6172460317611694;2.9404444694519043;1.0;0.33435583114624023;1.0;1.0;5.141648769378662;0.6102590560913086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.3415133059024811;1.0;1.0;0.7241904735565186;0.6196318864822388;2.932919502258301;1.0;0.3445807695388794;1.0;1.0;5.141648769378662;0.6121335625648499;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.35173824429512024;1.0;1.0;0.7327484488487244;0.6199727654457092;2.9371986389160156;1.0;0.3353783190250397;1.0;1.0;5.141648769378662;0.6025903224945068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.3680981695652008;1.0;1.0;0.732111930847168;0.629004716873169;2.936880350112915;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.6053169965744019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.3680981695652008;1.0;1.0;0.7329468727111816;0.6293455958366394;2.937297821044922;1.0;0.3190183937549591;1.0;1.0;5.141648769378662;0.6131560802459717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.3824130892753601;1.0;1.0;0.7195202708244324;0.6422972083091736;2.93058443069458;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.620483934879303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.3711656332015991;1.0;1.0;0.7249481678009033;0.6358214616775513;2.9332985877990723;1.0;0.3241308927536011;1.0;1.0;5.141648769378662;0.6087252497673035;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.3732106387615204;1.0;1.0;0.7277423739433289;0.6349693536758423;2.9346954822540283;1.0;0.33231082558631897;1.0;1.0;5.141648769378662;0.6037833094596863;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.3793455958366394;1.0;1.0;0.7149021625518799;0.6440014243125916;2.9282755851745605;1.0;0.3507157564163208;1.0;1.0;5.141648769378662;0.6032719612121582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.40081799030303955;1.0;1.0;0.7046666145324707;0.6557600498199463;2.9231576919555664;1.0;0.3139059245586395;1.0;1.0;5.141648769378662;0.6140082478523254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.40388548374176025;1.0;1.0;0.7104263305664062;0.6572938561439514;2.926037549972534;1.0;0.33231082558631897;1.0;1.0;5.141648769378662;0.5971370339393616;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.4253578782081604;1.0;1.0;0.6988430619239807;0.6683708429336548;2.920245885848999;1.0;0.35173824429512024;1.0;1.0;5.141648769378662;0.6191206574440002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.4161554276943207;1.0;1.0;0.7013334035873413;0.6678596138954163;2.9214911460876465;1.0;0.349693238735199;1.0;1.0;5.141648769378662;0.6225289702415466;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.44171780347824097;1.0;1.0;0.6866578459739685;0.6794478893280029;2.9141533374786377;1.0;0.32004091143608093;1.0;1.0;5.141648769378662;0.6162235736846924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1.0;0.436605304479599;1.0;1.0;0.6778592467308044;0.6828561425209045;2.9097540378570557;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.6259372234344482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1.0;0.5061349868774414;1.0;1.0;0.6729205846786499;0.7181322574615479;2.907284736633301;1.0;0.3139059245586395;1.0;1.0;5.141648769378662;0.6133264899253845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;1.0;0.493865042924881;1.0;1.0;0.6677328944206238;0.7130197882652283;2.904690742492676;1.0;0.3384458124637604;1.0;1.0;5.141648769378662;0.6162236332893372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;1.0;0.5061349868774414;1.0;1.0;0.6599855422973633;0.7211997509002686;2.9008171558380127;1.0;0.33231082558631897;1.0;1.0;5.141648769378662;0.6254260540008545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;1.0;0.5419222712516785;1.0;1.0;0.6457251906394958;0.7425016760826111;2.8936870098114014;1.0;0.33742332458496094;1.0;1.0;5.141648769378662;0.6022495031356812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;1.0;0.5756646394729614;1.0;1.0;0.6314780116081238;0.7617586851119995;2.886563301086426;1.0;0.3415133059024811;1.0;1.0;5.141648769378662;0.5993524193763733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;1.0;0.6359918117523193;1.0;1.0;0.6062989830970764;0.7999318838119507;2.873973846435547;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.6152011156082153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;1.0;0.6707566380500793;1.0;1.0;0.5985364317893982;0.8185071349143982;2.8700926303863525;1.0;0.32310837507247925;1.0;1.0;5.141648769378662;0.6141785979270935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;1.0;0.6728016138076782;1.0;1.0;0.5947220921516418;0.8212338089942932;2.868185520172119;1.0;0.3588957190513611;1.0;1.0;5.141648769378662;0.6126448512077332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;1.0;0.7157464027404785;1.0;1.0;0.5696856379508972;0.8449216485023499;2.8556671142578125;1.0;0.3159509301185608;1.0;1.0;5.141648769378662;0.6148602962493896;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;1.0;0.7597137093544006;1.0;1.0;0.5523890852928162;0.8701432347297668;2.8470189571380615;1.0;0.3190183937549591;1.0;1.0;5.141648769378662;0.6068507432937622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;1.0;0.8026584982872009;1.0;1.0;0.5279728770256042;0.8936605453491211;2.834810733795166;1.0;0.3220858871936798;1.0;1.0;5.141648769378662;0.5923653244972229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;1.0;0.8353783488273621;1.0;1.0;0.5122644305229187;0.9127471446990967;2.8269565105438232;1.0;0.3190183937549591;1.0;1.0;5.141648769378662;0.613667368888855;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;1.0;0.8445807695388794;1.0;1.0;0.4940677881240845;0.9161553978919983;2.8178582191467285;1.0;0.35480573773384094;1.0;1.0;5.141648769378662;0.6080436706542969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;1.0;0.8926380276679993;1.0;1.0;0.4682239592075348;0.942740261554718;2.804936408996582;1.0;0.37832310795783997;1.0;1.0;5.141648769378662;0.6048057675361633;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;1.0;0.9233129024505615;1.0;1.0;0.4473203122615814;0.9594410061836243;2.7944846153259277;1.0;0.3415133059024811;1.0;1.0;5.141648769378662;0.6046353578567505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;1.0;0.9263803958892822;1.0;1.0;0.43032926321029663;0.9608044028282166;2.7859890460968018;1.0;0.3364008069038391;1.0;1.0;5.141648769378662;0.6204839944839478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;1.0;0.9335378408432007;1.0;1.0;0.41743162274360657;0.9654055833816528;2.7795403003692627;1.0;0.32924336194992065;1.0;1.0;5.141648769378662;0.6041240692138672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;1.0;0.9631901979446411;1.0;1.0;0.37712275981903076;0.9809134602546692;2.759385824203491;1.0;0.33742332458496094;1.0;1.0;5.141648769378662;0.5990115404129028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;1.0;0.9642126560211182;1.0;1.0;0.35918572545051575;0.9812542200088501;2.7504172325134277;1.0;0.3445807695388794;1.0;1.0;5.141648769378662;0.6056577563285828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;1.0;0.976482629776001;1.0;1.0;0.3366330564022064;0.9882413148880005;2.7391409873962402;1.0;0.34662577509880066;1.0;1.0;5.141648769378662;0.6027606725692749;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;1.0;0.9815950989723206;1.0;1.0;0.31026700139045715;0.9906271696090698;2.7259578704833984;1.0;0.32822084426879883;1.0;1.0;5.141648769378662;0.604124128818512;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;1.0;0.987730085849762;1.0;1.0;0.2866578698158264;0.9938650131225586;2.714153289794922;1.0;0.3394683003425598;1.0;1.0;5.141648769378662;0.6059986352920532;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;1.0;0.9918200373649597;1.0;1.0;0.2662097215652466;0.9959100484848022;2.7039289474487305;1.0;0.34662577509880066;1.0;1.0;5.141648769378662;0.6211656332015991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;1.0;0.9928425550460815;1.0;1.0;0.24742093682289124;0.9964212775230408;2.6945347785949707;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.6105998754501343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;1.0;0.9959100484848022;1.0;1.0;0.22476418316364288;0.9979550242424011;2.683206558227539;1.0;0.35480573773384094;1.0;1.0;5.141648769378662;0.6242331266403198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;1.0;0.9959100484848022;1.0;1.0;0.20405445992946625;0.9979550242424011;2.6728515625;1.0;0.3384458124637604;1.0;1.0;5.141648769378662;0.6186094284057617;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;1.0;0.9979550242424011;1.0;1.0;0.19126376509666443;0.9989774823188782;2.6664562225341797;1.0;0.3558282256126404;1.0;1.0;5.141648769378662;0.6131560802459717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;1.0;0.9989774823188782;1.0;1.0;0.17767338454723358;0.9994887709617615;2.659661054611206;1.0;0.349693238735199;1.0;1.0;5.141648769378662;0.6172460317611694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;1.0;0.9989774823188782;1.0;1.0;0.15297147631645203;0.9994887709617615;2.6473100185394287;1.0;0.2995910048484802;1.0;1.0;5.141648769378662;0.6107702851295471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;1.0;1.0;1.0;1.0;0.13883693516254425;1.0;2.6402428150177;1.0;0.367075651884079;1.0;1.0;5.141648769378662;0.6078732013702393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;1.0;1.0;1.0;1.0;0.12537485361099243;1.0;2.633511781692505;1.0;0.34560325741767883;1.0;1.0;5.141648769378662;0.6117927432060242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;1.0;1.0;1.0;1.0;0.11281686276197433;1.0;2.627232789993286;1.0;0.31186094880104065;1.0;1.0;5.141648769378662;0.6054874062538147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;1.0;1.0;1.0;1.0;0.10040315240621567;1.0;2.621026039123535;1.0;0.3415133059024811;1.0;1.0;5.141648769378662;0.5906611680984497;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
