epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.349693238735199;1.0;1.0;0.7381018996238708;0.6187798380851746;0.7380783557891846;1.0;0.349693238735199;1.0;1.0;0.7380548715591431;0.6187798380851746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.34662577509880066;1.0;1.0;0.7324939966201782;0.6182685494422913;0.73241126537323;1.0;0.34662577509880066;1.0;1.0;0.7323285341262817;0.6180980801582336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.33742332458496094;1.0;1.0;0.7318711280822754;0.6153714656829834;0.7320117950439453;1.0;0.33742332458496094;1.0;1.0;0.7321524620056152;0.6153714656829834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3415133059024811;1.0;1.0;0.728586733341217;0.617416501045227;0.7284740209579468;1.0;0.3415133059024811;1.0;1.0;0.7283613681793213;0.617416501045227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3220858871936798;1.0;1.0;0.7369498014450073;0.6044648289680481;0.7367796897888184;1.0;0.3220858871936798;1.0;1.0;0.7366095185279846;0.6044648289680481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3333333432674408;1.0;1.0;0.7346026301383972;0.6095774173736572;0.7346295118331909;1.0;0.3333333432674408;1.0;1.0;0.7346563935279846;0.6095774173736572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3394683003425598;1.0;1.0;0.7362502217292786;0.6126448512077332;0.7362473011016846;1.0;0.3394683003425598;1.0;1.0;0.7362443804740906;0.6126448512077332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3333333432674408;1.0;1.0;0.7418169379234314;0.6085548400878906;0.7418646812438965;1.0;0.3333333432674408;1.0;1.0;0.7419124245643616;0.6085548400878906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.3353783190250397;1.0;1.0;0.7388867139816284;0.6126448512077332;0.738874077796936;1.0;0.3353783190250397;1.0;1.0;0.7388613820075989;0.6124744415283203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.31799590587615967;1.0;1.0;0.7400898337364197;0.5998636484146118;0.7401002645492554;1.0;0.31799590587615967;1.0;1.0;0.7401106953620911;0.5998636484146118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.35787320137023926;1.0;1.0;0.7286401391029358;0.625766932964325;0.7286198139190674;1.0;0.35787320137023926;1.0;1.0;0.7285993695259094;0.625766932964325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;0.32924336194992065;1.0;1.0;0.7335187792778015;0.6107702851295471;0.7333657741546631;1.0;0.32924336194992065;1.0;1.0;0.7332127690315247;0.6107702851295471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;1.0;0.3476482629776001;1.0;1.0;0.7311989665031433;0.618268609046936;0.73113614320755;1.0;0.34662577509880066;1.0;1.0;0.7310733199119568;0.6177573204040527;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;0.3680981695652008;1.0;1.0;0.7254721522331238;0.632242739200592;0.7254441380500793;1.0;0.3680981695652008;1.0;1.0;0.7254161238670349;0.632242739200592;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;0.37218815088272095;1.0;1.0;0.7191684246063232;0.6359918117523193;0.719188928604126;1.0;0.37218815088272095;1.0;1.0;0.7192094326019287;0.6359918117523193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;1.0;0.3875255584716797;1.0;1.0;0.7077126502990723;0.6484321355819702;0.707708477973938;1.0;0.3875255584716797;1.0;1.0;0.7077043652534485;0.6484321355819702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;0.36605316400527954;1.0;1.0;0.7234379649162292;0.6320722699165344;0.7234653234481812;1.0;0.36605316400527954;1.0;1.0;0.7234926223754883;0.6320722699165344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;0.41513291001319885;1.0;1.0;0.6989911198616028;0.6644512414932251;0.6989622116088867;1.0;0.41513291001319885;1.0;1.0;0.6989333033561707;0.6644512414932251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1.0;0.4171779155731201;1.0;1.0;0.6999223232269287;0.662406325340271;0.6997824311256409;1.0;0.4171779155731201;1.0;1.0;0.699642539024353;0.662406325340271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;0.40899795293807983;1.0;1.0;0.7039806246757507;0.660702109336853;0.7039341330528259;1.0;0.40899795293807983;1.0;1.0;0.7038876414299011;0.6608725786209106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;0.4570552110671997;1.0;1.0;0.6840802431106567;0.6930810809135437;0.684150755405426;1.0;0.4570552110671997;1.0;1.0;0.6842212677001953;0.6930810809135437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1.0;0.47546011209487915;1.0;1.0;0.6671366095542908;0.7055214643478394;0.6672555208206177;1.0;0.47546011209487915;1.0;1.0;0.6673744916915894;0.7055214643478394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;1.0;0.5030674934387207;1.0;1.0;0.6694533228874207;0.7176209688186646;0.6694570779800415;1.0;0.5030674934387207;1.0;1.0;0.6694608330726624;0.7176209688186646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;1.0;0.5480572581291199;1.0;1.0;0.6450430154800415;0.744205892086029;0.6449595093727112;1.0;0.5480572581291199;1.0;1.0;0.6448760032653809;0.744205892086029;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;1.0;0.5858895778656006;1.0;1.0;0.6264439821243286;0.7694274187088013;0.6265043020248413;1.0;0.5858895778656006;1.0;1.0;0.6265646815299988;0.7694274187088013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;1.0;0.6359918117523193;1.0;1.0;0.6049103140830994;0.7999318242073059;0.6050238609313965;1.0;0.6359918117523193;1.0;1.0;0.6051374673843384;0.7999318242073059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1.0;0.6564416885375977;1.0;1.0;0.594765841960907;0.8118609189987183;0.5948734283447266;1.0;0.6564416885375977;1.0;1.0;0.5949809551239014;0.8118609189987183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;1.0;0.7126789093017578;1.0;1.0;0.5770704746246338;0.842024564743042;0.5772989988327026;1.0;0.7126789093017578;1.0;1.0;0.577527642250061;0.842024564743042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;1.0;0.7249488830566406;1.0;1.0;0.5577127933502197;0.8510566353797913;0.5579984188079834;1.0;0.7249488830566406;1.0;1.0;0.5582839846611023;0.8510566353797913;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;1.0;0.7730061411857605;1.0;1.0;0.529220700263977;0.8781526684761047;0.5296235084533691;1.0;0.7730061411857605;1.0;1.0;0.530026376247406;0.8781526684761047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;1.0;0.8139059543609619;1.0;1.0;0.5095439553260803;0.8994547128677368;0.5100895762443542;1.0;0.8139059543609619;1.0;1.0;0.5106351971626282;0.8992842435836792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;1.0;0.849693238735199;1.0;1.0;0.4858080744743347;0.9217791557312012;0.4861728549003601;1.0;0.849693238735199;1.0;1.0;0.4865376055240631;0.9217791557312012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;1.0;0.8854805827140808;1.0;1.0;0.4596765339374542;0.9405248761177063;0.4604235291481018;1.0;0.8854805827140808;1.0;1.0;0.4611705541610718;0.9405248761177063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;1.0;0.9161553978919983;1.0;1.0;0.421245276927948;0.9556918740272522;0.42196178436279297;1.0;0.9161553978919983;1.0;1.0;0.42267826199531555;0.9556918740272522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;1.0;0.9468302726745605;1.0;1.0;0.39612942934036255;0.9725630879402161;0.3972013294696808;1.0;0.9468302726745605;1.0;1.0;0.398273229598999;0.9725630879402161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;1.0;0.9621676802635193;1.0;1.0;0.3653820753097534;0.9805725812911987;0.36672335863113403;1.0;0.9621676802635193;1.0;1.0;0.36806461215019226;0.9805725812911987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;1.0;0.9795501232147217;1.0;1.0;0.3303799033164978;0.9892638325691223;0.3319951891899109;1.0;0.9795501232147217;1.0;1.0;0.33361050486564636;0.9892638325691223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;1.0;0.977505087852478;1.0;1.0;0.3110598921775818;0.988752543926239;0.3128173351287842;1.0;0.977505087852478;1.0;1.0;0.31457480788230896;0.9885821342468262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;1.0;0.987730085849762;1.0;1.0;0.2787509262561798;0.9938650131225586;0.2805371880531311;1.0;0.988752543926239;1.0;1.0;0.28232342004776;0.9943763017654419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
