epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.349693238735199;1.0;1.0;0.7381144165992737;0.6187798380851746;0.738090991973877;1.0;0.349693238735199;1.0;1.0;0.7380675077438354;0.6187798380851746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.34662577509880066;1.0;1.0;0.732593834400177;0.6182685494422913;0.732511043548584;1.0;0.34662577509880066;1.0;1.0;0.732428252696991;0.6180980801582336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3364008069038391;1.0;1.0;0.7320808172225952;0.6146898865699768;0.7322213053703308;1.0;0.3364008069038391;1.0;1.0;0.7323617935180664;0.6146898865699768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34049078822135925;1.0;1.0;0.7289509773254395;0.6167348623275757;0.7288380861282349;1.0;0.34049078822135925;1.0;1.0;0.728725254535675;0.6167348623275757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3190183937549591;1.0;1.0;0.737511932849884;0.6025903224945068;0.737341046333313;1.0;0.3190183937549591;1.0;1.0;0.7371702194213867;0.6025903224945068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.33231082558631897;1.0;1.0;0.73542720079422;0.6090661287307739;0.7354536056518555;1.0;0.33231082558631897;1.0;1.0;0.7354799509048462;0.6090661287307739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3364008069038391;1.0;1.0;0.7374351024627686;0.61094069480896;0.7374321818351746;1.0;0.3364008069038391;1.0;1.0;0.7374292612075806;0.61094069480896;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3302658498287201;1.0;1.0;0.7434723973274231;0.6066802740097046;0.7435181736946106;1.0;0.3302658498287201;1.0;1.0;0.7435639500617981;0.6066802740097046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.33231082558631897;1.0;1.0;0.7411772608757019;0.6104294657707214;0.7411623001098633;1.0;0.33231082558631897;1.0;1.0;0.7411473989486694;0.6102589964866638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.31492841243743896;1.0;1.0;0.7431811690330505;0.5976482629776001;0.7431859970092773;1.0;0.31492841243743896;1.0;1.0;0.7431907057762146;0.5976482629776001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
