epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.349693238735199;1.0;1.0;1.5580317974090576;0.6187798380851746;1.5000596046447754;1.0;0.3241308927536011;1.0;1.0;1.4420875310897827;0.6102589964866638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.34662577509880066;1.0;1.0;1.551731824874878;0.6182685494422913;1.4977554082870483;1.0;0.3139059245586395;1.0;1.0;1.4437789916992188;0.6024198532104492;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3364008069038391;1.0;1.0;1.5437010526657104;0.6146898865699768;1.4879226684570312;1.0;0.3302658498287201;1.0;1.0;1.4321441650390625;0.6090661287307739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.34049078822135925;1.0;1.0;1.5454440116882324;0.6167348623275757;1.4913440942764282;1.0;0.3537832200527191;1.0;1.0;1.437244176864624;0.6208247542381287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.31799590587615967;1.0;1.0;1.5518958568572998;0.601567804813385;1.498338222503662;1.0;0.3139059245586395;1.0;1.0;1.444780707359314;0.6002044081687927;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.33128833770751953;1.0;1.0;1.5416016578674316;0.6085548996925354;1.4883368015289307;1.0;0.3364008069038391;1.0;1.0;1.4350720643997192;0.6117927432060242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3353783190250397;1.0;1.0;1.5482795238494873;0.6102590560913086;1.4947172403335571;1.0;0.3445807695388794;1.0;1.0;1.441154956817627;0.6145193576812744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.32924336194992065;1.0;1.0;1.5540146827697754;0.6061690449714661;1.4973974227905273;1.0;0.3251533806324005;1.0;1.0;1.4407801628112793;0.6054873466491699;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.33128833770751953;1.0;1.0;1.5438404083251953;0.6092365384101868;1.4906243085861206;1.0;0.3333333432674408;1.0;1.0;1.437408208847046;0.6133265495300293;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3128834366798401;1.0;1.0;1.5614441633224487;0.5956032872200012;1.5053107738494873;1.0;0.32004091143608093;1.0;1.0;1.4491775035858154;0.6013973951339722;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;0.34662577509880066;1.0;1.0;1.5423392057418823;0.618268609046936;1.4897615909576416;1.0;0.33742332458496094;1.0;1.0;1.4371839761734009;0.6134969592094421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
