r0:0.621658144561725:Q(b,a) -> Q(a,b)
r1:0.5969503522630393:Rg(b,a) -> Rg(a,b)
r2:0.5470674073477739:Ra(b,a) -> Ra(a,b)
r3:0.416450356261632:B(b,a) -> B(a,b)
r4:0.30857252470181745:An(g,b), An(a,g) -> An(a,b)
r5:0.07710465529446532:Q(b,a), Rg(b,a) -> Q(a,b)
r6:0.07075474416858686:B(b,a), Rg(b,a) -> B(a,b)
r7:0.0640770875582247:B(b,a), Rg(a,b) -> B(a,b)
r8:0.05872674912579919:An(g,a), Iw(g,b) -> Iw(a,b)
r9:0.057076451980613924:An(a,h), Iw(h,b) -> Iw(a,b)
r10:0.054134226542305236:Q(b,a), Rg(b,a) -> Rg(a,b)
r11:0.04446848384389713:E(b,a), Rg(b,a) -> Rg(a,b)
r12:0.044387068181337565:Ra(b,a), Rg(b,a) -> Rg(a,b)
r13:0.044240219743671934:E(b,a), Rg(b,a) -> E(a,b)
r14:0.043064898300650654:E(b,a), Q(b,a) -> Q(a,b)
r15:0.04203414816239389:E(b,a), Rg(a,b) -> E(a,b)
r16:0.04137494193424293:B(b,a), GG(b,a) -> B(a,b)
r17:0.04059146690660865:B(b,a), GG(a,b) -> B(a,b)
r18:0.038214602550655355:GG(a,b), Rg(b,a) -> Rg(a,b)
r19:0.0348761671734693:GG(b,a), Q(b,a) -> Q(a,b)
r20:0.03436113750039535:GG(a,b), Ra(b,a) -> Ra(a,b)
r21:0.03426994551507136:GG(b,a), Ra(b,a) -> Ra(a,b)
r22:0.03389246917387346:B(b,a), Rg(b,a) -> Rg(a,b)
r23:0.03198962584458252:E(b,a), Q(b,a) -> E(a,b)
r24:0.03098028378895349:B(b,a), Q(b,a) -> B(a,b)
r25:0.030391919793864238:E(b,a), Q(a,b) -> E(a,b)
r26:0.029483980270350357:B(b,a), Q(a,b) -> B(a,b)
r27:0.028657611124329067:B(b,a), Ra(b,a) -> B(a,b)
r28:0.02241135867369587:B(b,a), Q(b,a) -> Q(a,b)
r29:0.02096959274104009:E(b,a), Ra(b,a) -> E(a,b)
r30:0.020521239088856967:An(b,a), Iw(b,a) -> An(a,b)
r31:0.01881113582580888:An(b,a), Iw(a,b) -> An(a,b)
r32:0.01779989285597141:E(b,a), GG(b,a) -> E(a,b)
r33:0.0172831792617543:E(b,a), GG(a,b) -> E(a,b)
r34:0.015516989045354071:E(b,a), Ra(a,b) -> E(a,b)
r35:0.01537791557473479:B(b,a), E(b,a) -> E(a,b)
r36:0.011748119999999999:Iw(b,a), ML(b,a) -> Iw(a,b)
r37:0.01087540231820623:Iw(b,a), U(a,b) -> Iw(a,b)
r38:0.006644633208381432:P(b,a), X(a,b) -> ML(a,b)
