epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.34170854091644287;1.0;0.7319926619529724;0.6162061095237732;1.2283215522766113;0.33919596672058105;1.0;0.7346506714820862;0.6147404313087463;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.33228641748428345;1.0;0.7344362139701843;0.611076295375824;1.2278831005096436;0.32914572954177856;1.0;0.7379155158996582;0.6096106171607971;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.31783920526504517;1.0;0.7450814843177795;0.5981994271278381;1.2342555522918701;0.3159547746181488;1.0;0.7465791702270508;0.5965243577957153;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.33354270458221436;1.0;0.7412254214286804;0.6104481816291809;1.2276625633239746;0.33228641748428345;1.0;0.7437906861305237;0.60919189453125;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.32349246740341187;1.0;0.7393901348114014;0.6054230332374573;1.220997929573059;0.32349246740341187;1.0;0.7388149499893188;0.6068887114524841;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.36055275797843933;1.0;0.7323410511016846;0.6251047253608704;1.212063193321228;0.35866832733154297;1.0;0.7344892621040344;0.6241625547409058;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.34359297156333923;1.0;0.7355180978775024;0.6153686046600342;1.211696743965149;0.3423366844654083;1.0;0.7370501756668091;0.6145310401916504;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.34170854091644287;1.0;0.736821711063385;0.617043673992157;1.2099353075027466;0.3423366844654083;1.0;0.738670289516449;0.6168342232704163;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.329773873090744;1.0;0.7393978238105774;0.6097152829170227;1.2093911170959473;0.3272612988948822;1.0;0.7414280772209167;0.6104481220245361;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3366834223270416;1.0;0.7254588007926941;0.6155779957771301;1.1934709548950195;0.3310301601886749;1.0;0.7299232482910156;0.611913800239563;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.34170854091644287;1.0;0.7400822639465332;0.6139029264450073;1.202897548675537;0.3410803973674774;1.0;0.7405250668525696;0.6148450970649719;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.34045225381851196;1.0;0.7271806001663208;0.6174623966217041;1.1877362728118896;0.3429648280143738;1.0;0.7294501066207886;0.6188233494758606;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.34484925866127014;1.0;0.7284348011016846;0.6166248917579651;1.1850578784942627;0.34610551595687866;1.0;0.7291589379310608;0.6167295575141907;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3454773724079132;1.0;0.7212497591972351;0.6220687627792358;1.1767897605895996;0.3454773724079132;1.0;0.7261012196540833;0.6220687627792358;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.3636934757232666;1.0;0.726448118686676;0.6283501982688904;1.17783784866333;0.36306533217430115;1.0;0.7292661666870117;0.6289783120155334;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.3706030249595642;1.0;0.7187585830688477;0.6347362399101257;1.167051076889038;0.36620602011680603;1.0;0.7216221690177917;0.6341081261634827;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.33605527877807617;1.0;0.7320874333381653;0.6141123175621033;1.1764166355133057;0.3373115658760071;1.0;0.7332377433776855;0.6164155006408691;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.3844221234321594;1.0;0.7133901119232178;0.6408082842826843;1.1555721759796143;0.3831658363342285;1.0;0.716431736946106;0.6416457891464233;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;0.3680904507637024;1.0;0.7184611558914185;0.6337940096855164;1.157529592514038;0.3611809015274048;1.0;0.7214335799217224;0.6293970346450806;NA;NA;NA;NA;NA;NA;NA;NA;NA
