sep=;
dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;corrupt_mode;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;predicate_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;kge_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;kge_checkpoint_load;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@10@10;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
countries_s1;backwardoriginal_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_1-complex-sbr-None-1-100;4;[0.044, 0.043];[0.036, 0.041];[0.052, 0.045];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.327, 0.025];[0.306, 0.024];[0.348, 0.028];[0.919, 0.015];[0.898, 0.017];[0.93, 0.017];[0.966, 0.012];[0.917, 0.016];[0.896, 0.019];[0.934, 0.022];[0.966, 0.017];[0.264, 0.027];[0.232, 0.026];[0.296, 0.028];[0.976, 0.013];[0.96, 0.022];[0.992, 0.01];[1.0, 0.0];[0.973, 0.009];[0.952, 0.016];[0.992, 0.01];[1.0, 0.0];[0.226, 0.105];[0.234, 0.085];[11.318, 0.951];[0.03, 0.0];[0.12, 0.0]
countries_s1;backwardoriginal_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_1-complex-r2n-None-1-100;4;[0.008, 0.012];[0.008, 0.012];[0.008, 0.012];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.395, 0.057];[0.395, 0.057];[0.395, 0.057];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.293, 0.042];[0.293, 0.042];[0.293, 0.042];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.108, 0.004];[0.204, 0.108];[13.682, 0.226];[0.028, 0.004];[0.126, 0.005]
countries_s1;backwardoriginal_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_1-complex-no_reasoner-None-1-100;4;[0.083, 0.162];[0.083, 0.162];[0.083, 0.162];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.401, 0.064];[0.401, 0.064];[0.401, 0.064];[0.909, 0.016];[0.886, 0.019];[0.92, 0.018];[0.954, 0.01];[0.909, 0.016];[0.886, 0.019];[0.92, 0.018];[0.954, 0.01];[0.314, 0.043];[0.314, 0.043];[0.314, 0.043];[0.951, 0.01];[0.912, 0.016];[0.996, 0.008];[1.0, 0.0];[0.951, 0.01];[0.912, 0.016];[0.996, 0.008];[1.0, 0.0];[0.02, 0.0];[0.02, 0.0];[9.546, 0.156];[0.0, 0.0];[0.092, 0.004]
countries_s1;backwardoriginal_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_2-complex-dcr-None-1-100;4;[0.11, 0.036];[0.047, 0.039];[0.095, 0.032];[1.0, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[0.408, 0.057];[0.334, 0.056];[0.404, 0.059];[0.918, 0.017];[0.898, 0.021];[0.922, 0.02];[0.97, 0.017];[0.921, 0.014];[0.902, 0.015];[0.924, 0.02];[0.97, 0.017];[0.344, 0.034];[0.258, 0.034];[0.352, 0.037];[0.962, 0.008];[0.936, 0.015];[0.992, 0.01];[1.0, 0.0];[0.966, 0.013];[0.94, 0.022];[0.996, 0.008];[1.0, 0.0];[0.232, 0.234];[0.158, 0.004];[15.196, 0.255];[0.03, 0.0];[0.124, 0.005]
countries_s1;backwardoriginal_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_2-complex-sbr-None-1-100;4;[0.044, 0.043];[0.036, 0.041];[0.052, 0.045];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.327, 0.025];[0.306, 0.024];[0.348, 0.028];[0.919, 0.015];[0.898, 0.017];[0.93, 0.017];[0.966, 0.012];[0.917, 0.016];[0.896, 0.019];[0.934, 0.022];[0.966, 0.017];[0.264, 0.027];[0.232, 0.026];[0.296, 0.028];[0.976, 0.013];[0.96, 0.022];[0.992, 0.01];[1.0, 0.0];[0.973, 0.009];[0.952, 0.016];[0.992, 0.01];[1.0, 0.0];[0.114, 0.005];[0.412, 0.317];[10.994, 0.375];[0.03, 0.0];[0.12, 0.0]
countries_s1;backwardoriginal_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_2-complex-r2n-None-1-100;4;[0.008, 0.012];[0.008, 0.012];[0.008, 0.012];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.395, 0.057];[0.395, 0.057];[0.395, 0.057];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.293, 0.042];[0.293, 0.042];[0.293, 0.042];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.118, 0.016];[0.286, 0.242];[13.624, 0.459];[0.03, 0.0];[0.124, 0.005]
countries_s1;backwardoriginal_2;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_2-complex-no_reasoner-None-1-100;4;[0.083, 0.162];[0.083, 0.162];[0.083, 0.162];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.401, 0.064];[0.401, 0.064];[0.401, 0.064];[0.909, 0.016];[0.886, 0.019];[0.92, 0.018];[0.954, 0.01];[0.909, 0.016];[0.886, 0.019];[0.92, 0.018];[0.954, 0.01];[0.314, 0.043];[0.314, 0.043];[0.314, 0.043];[0.951, 0.01];[0.912, 0.016];[0.996, 0.008];[1.0, 0.0];[0.951, 0.01];[0.912, 0.016];[0.996, 0.008];[1.0, 0.0];[0.02, 0.0];[0.02, 0.0];[9.706, 0.408];[0.0, 0.0];[0.09, 0.0]
countries_s1;backwardoriginal_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_3-complex-dcr-None-1-100;4;[0.11, 0.036];[0.047, 0.039];[0.095, 0.032];[1.0, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[0.999, 0.002];[1.0, 0.0];[1.0, 0.0];[0.408, 0.057];[0.334, 0.056];[0.404, 0.059];[0.918, 0.017];[0.898, 0.021];[0.922, 0.02];[0.97, 0.017];[0.921, 0.014];[0.902, 0.015];[0.924, 0.02];[0.97, 0.017];[0.344, 0.034];[0.258, 0.034];[0.352, 0.037];[0.962, 0.008];[0.936, 0.015];[0.992, 0.01];[1.0, 0.0];[0.966, 0.013];[0.94, 0.022];[0.996, 0.008];[1.0, 0.0];[0.32, 0.39];[0.168, 0.004];[15.0, 0.573];[0.03, 0.0];[0.124, 0.005]
countries_s1;backwardoriginal_3;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_3-complex-sbr-None-1-100;4;[0.044, 0.043];[0.036, 0.041];[0.052, 0.045];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.998, 0.002];[1.0, 0.0];[1.0, 0.0];[0.327, 0.025];[0.306, 0.024];[0.348, 0.028];[0.919, 0.015];[0.898, 0.017];[0.93, 0.017];[0.966, 0.012];[0.917, 0.016];[0.896, 0.019];[0.934, 0.022];[0.966, 0.017];[0.264, 0.027];[0.232, 0.026];[0.296, 0.028];[0.976, 0.013];[0.96, 0.022];[0.992, 0.01];[1.0, 0.0];[0.973, 0.009];[0.952, 0.016];[0.992, 0.01];[1.0, 0.0];[0.58, 0.559];[0.168, 0.004];[11.348, 0.743];[0.03, 0.0];[0.12, 0.0]
countries_s1;backwardoriginal_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backwardoriginal_3-complex-r2n-None-1-100;4;[0.008, 0.012];[0.008, 0.012];[0.008, 0.012];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.395, 0.057];[0.395, 0.057];[0.395, 0.057];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.906, 0.02];[0.876, 0.029];[0.922, 0.015];[0.956, 0.019];[0.293, 0.042];[0.293, 0.042];[0.293, 0.042];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.956, 0.015];[0.92, 0.028];[0.996, 0.008];[1.0, 0.0];[0.12, 0.0];[0.412, 0.494];[13.662, 0.465];[0.03, 0.0];[0.126, 0.005]
