Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S3_p;backward;complex;100;0.5;1;no_reasoner;[19.718705224990845, 0.819340128848491];[2.5768, 0.0001];[0.012, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6041, 0.0084];[0.3327, 0.0149];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9303, 0.0091];[0.4584, 0.0183];[1.4023, 0.0];[0.8164, 0.0226];[0.75, 0.0316];[0.844, 0.0242];[0.9, 0.0167];[0.988, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7781, 0.0172];[0.4712, 0.0344];[3.085, 0.0];[0.8349, 0.0182];[0.744, 0.0196];[0.9, 0.0179];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;dcr;[845.5242755889892, 12.834033291881989];[0.0257, 0.0008];[0.0121, 0.0003];[0.0173, 0.0016];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4652, 0.0231];[0.4541, 0.0229];[0.4543, 0.0232];[0.811, 0.0237];[0.734, 0.0307];[0.85, 0.0297];[0.916, 0.0174];[0.99, 0.0063];[0.8107, 0.0239];[0.734, 0.0307];[0.85, 0.0297];[0.912, 0.0204];[0.99, 0.0089];[0.4677, 0.015];[0.461, 0.0158];[0.4523, 0.0147];[0.8286, 0.0049];[0.724, 0.015];[0.912, 0.0271];[1.0, 0.0];[1.0, 0.0];[0.8286, 0.0045];[0.724, 0.015];[0.912, 0.0271];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;r2n;[1248.3380106925965, 6.858587919693949];[0.013, 0.0004];[0.0121, 0.0003];[0.0139, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.532, 0.0911];[0.4455, 0.0166];[0.6185, 0.1716];[0.8049, 0.0181];[0.738, 0.0279];[0.828, 0.0214];[0.898, 0.0117];[0.99, 0.0063];[0.7959, 0.0176];[0.722, 0.0223];[0.83, 0.0167];[0.896, 0.0185];[0.992, 0.004];[0.6201, 0.1406];[0.4746, 0.0117];[0.7657, 0.2907];[0.8248, 0.0094];[0.724, 0.015];[0.9, 0.0219];[1.0, 0.0];[1.0, 0.0];[0.8141, 0.0139];[0.708, 0.0204];[0.896, 0.0196];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;sbr;[194.12555017471314, 3.4557421494254763];[0.0826, 0.0025];[0.06, 0.0024];[0.1053, 0.0044];[0.9994, 0.0004];[0.9988, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9619, 0.0037];[0.9321, 0.0084];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3669, 0.0095];[0.3127, 0.0117];[0.4211, 0.013];[0.7809, 0.0085];[0.712, 0.0098];[0.798, 0.0133];[0.858, 0.0354];[0.984, 0.0049];[0.7644, 0.0069];[0.69, 0.0303];[0.78, 0.0253];[0.84, 0.0228];[0.972, 0.0183];[0.5204, 0.0334];[0.5032, 0.0236];[0.5375, 0.0446];[0.7625, 0.0152];[0.64, 0.0179];[0.844, 0.0265];[1.0, 0.0];[1.0, 0.0];[0.7303, 0.0216];[0.608, 0.0271];[0.8, 0.0506];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;rnm;[196.7848810195923, 2.1312672152896797];[0.0201, 0.0003];[0.0121, 0.0003];[0.0282, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4357, 0.0144];[0.4325, 0.0141];[0.4389, 0.0148];[0.8172, 0.0222];[0.75, 0.0316];[0.846, 0.0206];[0.91, 0.011];[0.99, 0.0063];[0.8172, 0.0225];[0.75, 0.0316];[0.844, 0.0215];[0.912, 0.0098];[0.996, 0.0049];[0.4444, 0.0233];[0.4473, 0.0244];[0.4416, 0.0223];[0.8288, 0.0158];[0.728, 0.0271];[0.9, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.8299, 0.0155];[0.728, 0.0271];[0.904, 0.0196];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;gsbr;[297.32432050704955, 1.303226926476472];[0.0124, 0.0003];[0.0121, 0.0003];[0.0127, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4437, 0.0188];[0.4441, 0.0188];[0.4434, 0.0187];[0.8163, 0.0221];[0.744, 0.0287];[0.858, 0.0232];[0.912, 0.0098];[0.99, 0.0063];[0.8163, 0.0221];[0.744, 0.0287];[0.858, 0.0232];[0.912, 0.0098];[0.992, 0.004];[0.4472, 0.0262];[0.4496, 0.0254];[0.4447, 0.0271];[0.8278, 0.0125];[0.728, 0.024];[0.912, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.828, 0.0132];[0.728, 0.024];[0.912, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;complex;100;0.5;1;cdcr;[1905.1191244125366, 9.60478700528502];[0.068, 0.0347];[0.0405, 0.0229];[0.0737, 0.0469];[0.9997, 0.0004];[0.9994, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9749, 0.0205];[0.9544, 0.0377];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4267, 0.0621];[0.3779, 0.0923];[0.4537, 0.0354];[0.7948, 0.016];[0.728, 0.0248];[0.816, 0.0233];[0.882, 0.0183];[0.982, 0.0098];[0.7798, 0.0251];[0.716, 0.0206];[0.798, 0.0431];[0.866, 0.0344];[0.986, 0.0102];[0.5144, 0.0316];[0.4834, 0.0133];[0.5236, 0.0519];[0.7914, 0.0522];[0.684, 0.0731];[0.872, 0.0431];[1.0, 0.0];[1.0, 0.0];[0.7773, 0.0648];[0.676, 0.0804];[0.828, 0.0863];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;distmult;100;0.5;1;no_reasoner;[17.75849404335022, 1.3581350928886398];[2.5768, 0.0001];[0.012, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6041, 0.0084];[0.3327, 0.0149];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9127, 0.0181];[0.4231, 0.0362];[1.4023, 0.0];[0.8165, 0.0109];[0.746, 0.0233];[0.846, 0.015];[0.908, 0.016];[0.992, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7821, 0.0071];[0.4792, 0.0142];[3.085, 0.0];[0.8175, 0.013];[0.708, 0.0271];[0.916, 0.0294];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;distmult;100;0.5;1;dcr;[824.7322351932526, 5.831719127956724];[0.0261, 0.0012];[0.0126, 0.0008];[0.0174, 0.0017];[0.9999, 0.0003];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4373, 0.0264];[0.4259, 0.027];[0.4266, 0.0256];[0.8124, 0.0162];[0.738, 0.0264];[0.852, 0.0232];[0.912, 0.0312];[0.994, 0.0049];[0.8122, 0.0164];[0.738, 0.0264];[0.852, 0.0232];[0.912, 0.0312];[0.99, 0.0063];[0.4874, 0.04];[0.4814, 0.0384];[0.4713, 0.0424];[0.8133, 0.0165];[0.7, 0.0179];[0.92, 0.042];[1.0, 0.0];[1.0, 0.0];[0.8131, 0.0163];[0.7, 0.0179];[0.92, 0.042];[1.0, 0.0];[1.0, 0.0]
train_S3_p;backward;distmult;100;0.5;1;r2n;[1237.0386276245117, 5.862610148460089];[0.0131, 0.0003];[0.0121, 0.0003];[0.014, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4642, 0.0665];[0.4086, 0.0227];[0.5198, 0.1192];[0.8071, 0.0096];[0.73, 0.021];[0.848, 0.0214];[0.892, 0.0319];[0.99, 0.0089];[0.7938, 0.0135];[0.712, 0.0204];[0.836, 0.0242];[0.898, 0.0204];[0.99, 0.0063];[0.5485, 0.0651];[0.483, 0.0346];[0.6141, 0.1284];[0.8131, 0.0172];[0.708, 0.0431];[0.912, 0.0412];[1.0, 0.0];[1.0, 0.0];[0.8106, 0.0161];[0.704, 0.032];[0.908, 0.0204];[1.0, 0.0];[1.0, 0.0]
